key,source,target
BARKS_Subtitles/Alerted_MCEscape_FireDisciple_HideoutAllBut5_02,¡Vuelve y lucha!,
BARKS_Subtitles/Alerted_MCEscape_Flashkick_HideoutAllBut5_01,¡Vuelve!,
BARKS_Subtitles/Sanctuary_Flashkick_HideoutAll_02,¡Ven aquí!,
BARKS_Subtitles/Sanctuary_Grunt_HideoutAll_01,¡Ven aquí!,
BARKS_Subtitles/Alerted_GenericSearched_BigGuy_Hideout4_03,Ven aquí.,
BARKS_Subtitles/Alerted_MCAttacking_BigGuy_HideoutAllBut5_03,Ven aquí.,
BARKS_Subtitles/Alerted_GenericIntruder_Grunt_Hideout1_03,¡¿Te has colado?!,
BARKS_Subtitles/LastMan_Bodyguard_HideoutAll_03,¡Vamos!,
BARKS_Subtitles/Sanctuary_Bodyguard_HideoutAll_02,¡Vamos!,
BARKS_Subtitles/Sanctuary_Grunt_HideoutAll_03,¡Venga! ¡Golpéame!,
BARKS_Subtitles/MCDominated_FireDisciple_HideoutAll_02,¡Vamos! ¡Despierta!,
BARKS_Subtitles/Alerted_MCThreatening_Bodyguard_Hideout5_01,"Vamos, venga conmigo.",
BARKS_Subtitles/Alerted_GenericIntruder_Grunt_Hideout2_03,"Venga, dame fuerte.",
BARKS_Subtitles/FullLife_Kuroki_KurokiP2Only_04,"Venga, sígueme el ritmo.",
BARKS_Subtitles/Alerted_GenericIntruder_FireDisciple_Hideout2_01,"Vamos, a ver qué sabes hacer.",
BARKS_Subtitles/Alerted_MCEscape_FireDisciple_HideoutAllBut5_04,"Venga, quédate aquí.",
BARKS_Subtitles/Alerted_GenericIntruder_Flashkick_Hideout2_04,"Vamos, atrévete a pegarme.",
BARKS_Subtitles/Alerted_MCAttacking_Flashkick_HideoutAllBut5_04,"Vamos, atrévete a pegarme.",
BARKS_Subtitles/DefensePhase_Yang_YangAllPhase_03,"Venga. ¡Hazlo mejor, idiota!",
BARKS_Subtitles/Sanctuary_BigGuy_HideoutAll_01,"¡Sal y enfréntate a mí, cobarde!",
BARKS_Subtitles/Sanctuary_FireDisciple_HideoutAll_01,Ven aquí. Hay espacio para que luchemos.,
BARKS_Subtitles/Alerted_MCClose_Flashkick_HideoutAll_06,¡Joder!,
BARKS_Subtitles/MCDominating_FireDisciple_HideoutAll_03,"Joder, te mueves rápido.",
BARKS_Subtitles/MCDominating_Grunt_HideoutAll_02,"¡Joder, es imparable!",
BARKS_Subtitles/MCRez_First_Grunt_HideoutAll_06,Mierda... Pensaba que se había acabado.,
BARKS_Subtitles/Alerted_MCClose_Grunt_HideoutAll_01,¡Mierda! ,
BARKS_Subtitles/Alerted_MCClose_KungFuStudent_Hideout0_01,¡Mierda! ,
BARKS_Subtitles/Alerted_MCThreatening_FireDisciple_HideoutAllBut5_02,¿Te atreves a amenazarme?,
BARKS_Subtitles/MCDominated_BigGuy_HideoutAll_01,¿Se te ha olvidado cómo luchar?,
BARKS_Subtitles/SpecialAttack_Kuroki_KurokiP2Only_10,¡Muere lentamente!,
BARKS_Subtitles/SpecialAttack_Kuroki_KurokiP2Only_11,¡Muere!,
BARKS_Subtitles/DefensePhase_Yang_YangAllPhase_01,Hazlo mejor. ¡Esfuérzate más!,
BARKS_Subtitles/Alerted_GenericSearched_Flashkick_Hideout3_01,No te acerques a la señora Kuroki.,
BARKS_Subtitles/FullLife_Yang_YangP1Only_03,No juegues conmigo.,
BARKS_Subtitles/FullLife_Yang_YangP1Only_04,No juegues a esta clase de juegos conmigo.,
BARKS_Subtitles/MCRez_NotFirst_Sean_SeanAllPhase_03,¿Disfrutas con estas palizas?,
BARKS_Subtitles/FullLife_Fengjie_FengjieP1Only_01,¿Piensas atacarme alguna vez?,
BARKS_Subtitles/Alerted_MCThreatening_Flashkick_HideoutAllBut5_04,No hagas estupideces.,
BARKS_Subtitles/AttackNotWorking_Yang_YangAllPhase_01,Ni te molestes.,
BARKS_Subtitles/Alerted_MCThreatening_Bodyguard_HideoutAllBut5_02,No lo hagas.,
BARKS_Subtitles/Alerted_MCAttacking_KungFuStudent_Hideout0_03,¡No lo hagas!,
BARKS_Subtitles/ThrowCancel_Yang_YangAllPhase_02,Ni se te ocurra volver a intentarlo.,
BARKS_Subtitles/FullLife_Fengjie_FengjieP2Only_01,No seas arrogante.,
BARKS_Subtitles/Alerted_GenericSearched_Flashkick_Hideout4_01,¡No des un paso más!,
BARKS_Subtitles/Alerted_MCEscape_Grunt_HideoutAllBut5_05,¡No te vayas muy lejos!,
BARKS_Subtitles/Spare_Yang_YangAllPhase_04,No me insultes mostrando piedad.,
BARKS_Subtitles/AttackNotWorking_Yang_YangAllPhase_04,No me insultes con ese movimiento.,
BARKS_Subtitles/Alerted_GenericSearched_KungFuStudent_Hideout0_03,¡No dejéis que escape!,
BARKS_Subtitles/Alerted_GenericSearched_BigGuy_Hideout3_02,No me hagas correr.,
BARKS_Subtitles/Alerted_GenericSearched_BigGuy_Hideout5_02,"Disculpe, {ListenerGender}|gender(señor,señora).",
BARKS_Subtitles/Alerted_GenericSearched_Grunt_Hideout4_02,¡No te muevas!,
BARKS_Subtitles/AttackNotWorking_Yang_YangAllPhase_02,No malgastes el tiempo.,
BARKS_Subtitles/Alerted_GenericSearched_Bodyguard_Hideout5_03,"No se preocupe, se sentirá mejor luego.",
BARKS_Subtitles/MCRez_NotFirst_Grunt_HideoutAll_02,¿Es que no mueres nunca?,
BARKS_Subtitles/Alerted_MCThreatening_Bodyguard_HideoutAllBut5_04,No.,
BARKS_Subtitles/MCPickWeapon_Flashkick_HideoutAll_01,¡Suelta eso!,
BARKS_Subtitles/MCPickWeapon_Bodyguard_HideoutAll_01,"Baje el arma, {ListenerGender}|gender(señor,señora).",
BARKS_Subtitles/MCPickWeapon_Grunt_HideoutAll_05,¡Tira el arma!,
BARKS_Subtitles/DefensePhase_Yang_YangAllPhase_02,¿Ocho años? ¡Venga ya!,
BARKS_Subtitles/MCRez_NotFirst_Fengjie_FengjieAllPhase_05,¿Te gusta el amargo sabor de la muerte?,
BARKS_Subtitles/MCDominating_FireDisciple_HideoutAll_02,¡Basta de juegos!,
BARKS_Subtitles/LastMan_Bodyguard_HideoutAll_02,¡Lucha contra mí!,
BARKS_Subtitles/LastMan_Grunt_HideoutAll_01,¡Lucha contra mí!,
BARKS_Subtitles/MCRez_First_Flashkick_HideoutAll_03,¡Bien! ¡Levántate!,
BARKS_Subtitles/FullLife_Yang_YangP2Only_01,"Bien, a ver qué tal aguantas mi pak mei.",
BARKS_Subtitles/Alerted_MCThreatening_FireDisciple_HideoutAllBut5_01,Bien.,
BARKS_Subtitles/Alerted_GenericIntruder_Flashkick_Hideout2_01,Es la primera vez que te veo.,
BARKS_Subtitles/FullLife_Fengjie_FengjieP2Only_03,Extravagante cuanto menos.,
BARKS_Subtitles/Alerted_MCThreatening_FireDisciple_HideoutAllBut5_03,Idiota.,
BARKS_Subtitles/Alerted_GenericSearched_Grunt_Hideout4_05,He encontrado al objetivo.,
BARKS_Subtitles/Alerted_GenericIntruder_Grunt_Hideout1_06,¿Qué coño estás haciendo aquí?,
BARKS_Subtitles/Alerted_MCAttacking_Grunt_HideoutAllBut5_04,¡Joder!,
BARKS_Subtitles/Alerted_MCClose_Bodyguard_HideoutAll_01,¡Joder!,
BARKS_Subtitles/SeanBurst_Sean_SeanAllPhase_01,(Rugido),
BARKS_Subtitles/Spare_Fajar_FajarAllPhase_01,(Rugido),
BARKS_Subtitles/Alerted_MCEscape_Flashkick_HideoutAllBut5_03,¡Vuelve aquí!,
BARKS_Subtitles/Alerted_MCThreatening_KungFuStudent_Hideout0_01,¡A por él!,
BARKS_Subtitles/Sanctuary_Bodyguard_HideoutAll_01,¡Sal y enfréntate a mí!,
BARKS_Subtitles/Sanctuary_Flashkick_HideoutAll_01,¡Sal de ahí!,
BARKS_Subtitles/Alerted_MCEscape_ArchAll_HideoutAllBut5_02,¡Ven aquí! ,
BARKS_Subtitles/MCRez_First_FireDisciple_HideoutAll_05,"Levántate. Estoy {SpeakerGender}|gender(listo,lista).",
BARKS_Subtitles/Alerted_MCAttacking_Grunt_HideoutAllBut5_07,¡Mierda! ,
BARKS_Subtitles/MCRez_NotFirst_Grunt_HideoutAll_06,¡Joder! ¿Por qué no mueres de una vez?,
BARKS_Subtitles/LastMan_Grunt_HideoutAll_03,Voy a disfrutarlo.,
BARKS_Subtitles/Alerted_MCAttacking_BigGuy_HideoutAllBut5_01,Te voy a reventar la cabeza.,
BARKS_Subtitles/Alerted_GenericSearched_BigGuy_Hideout5_01,"Buenos días, {ListenerGender}|gender(señor,señora).",
BARKS_Subtitles/Alerted_GenericSearched_Grunt_Hideout5_03,"Buenos días, {ListenerGender}|gender(señor,señora).",
BARKS_Subtitles/Alerted_GenericSearched_Grunt_Hideout3_05,"{ListenerGender}|gender(Lo,La) tengo {ListenerGender}|gender(localizado,localizada).",
BARKS_Subtitles/MCRez_First_Flashkick_HideoutAll_02,¿No has tenido bastante?,
BARKS_Subtitles/MCRez_First_Grunt_HideoutAll_02,¿No has tenido bastante?,
BARKS_Subtitles/Alerted_MCEscape_BigGuy_HideoutAllBut5_02,"Je, je... ¡Corre, {ListenerGender}|gender(chiquitín,chiquitina)!",
BARKS_Subtitles/Alerted_GenericIntruder_Grunt_Hideout1_05,"¡Eh, tú!",
BARKS_Subtitles/Alerted_GenericSearched_ArchAll_HideoutAll_01,¡Eh!,
BARKS_Subtitles/Alerted_MCEscape_ArchAll_HideoutAllBut5_01,"¡Eh, no te muevas!",
BARKS_Subtitles/Alerted_GenericIntruder_Grunt_Hideout1_02,¡Eh! ¿Cómo te has colado aquí?,
BARKS_Subtitles/Alerted_GenericIntruder_Flashkick_Hideout2_02,"Eh, ¿necesitas algo?",
BARKS_Subtitles/Alerted_GenericIntruder_Grunt_Hideout2_05,"Oye, esto es una fiesta privada.",
BARKS_Subtitles/Alerted_MCEscape_Grunt_HideoutAllBut5_04,"Eh, ¿adónde vas?",
BARKS_Subtitles/Alerted_GenericSearched_Flashkick_Hideout4_03,"¡Eh, tú, no te muevas!",
BARKS_Subtitles/Alerted_GenericIntruder_Grunt_Hideout2_01,"¡Eh, tú! ¿Quieres pelea?",
BARKS_Subtitles/FullLife_Sean_SeanP1Only_03,¡Golpéame!,
BARKS_Subtitles/ReactionTakedown_Flashkick_HideoutAll_01,¡Hostia puta!,
BARKS_Subtitles/ReactionTakedown_Grunt_HideoutAll_01,¡Mierda!,
BARKS_Subtitles/MCRez_NotFirst_BigGuy_HideoutAll_03,¿Cómo puedes levantarte después de eso?,
BARKS_Subtitles/MCRez_First_Kuroki_KurokiP1Only_02,¿Cómo has sobrevivido a mis cuchillas?,
BARKS_Subtitles/Alerted_MCClose_BigGuy_HideoutAll_01,¿Cómo has...?,
BARKS_Subtitles/BreakStructure_Yang_YangAllPhase_03,¡Oh! Esto es patético.,
BARKS_Subtitles/BreakStructure_Yang_YangAllPhase_01,"Oh, patético.",
BARKS_Subtitles/BreakStructure_Yang_YangAllPhase_02,"Oh, eres patético.",
BARKS_Subtitles/Alerted_MCClose_Flashkick_HideoutAll_01,¿Eh?,
BARKS_Subtitles/LastMan_Bodyguard_HideoutAll_01,"Je, no está mal.",
BARKS_Subtitles/Alerted_MCClose_BigGuy_HideoutAll_04,¿Eh?,
BARKS_Subtitles/Alerted_MCClose_FireDisciple_HideoutAll_01,¿Eh?,
BARKS_Subtitles/SpecialAttack_Yang_YangAllPhase_01,¡Seguro que tu sifu no te enseñó esto!,
BARKS_Subtitles/SpecialAttack_Yang_YangAllPhase_03,Seguro que tu padre muerto no te enseñó esto.,
BARKS_Subtitles/MCRez_First_Bodyguard_HideoutAll_02,Podría pasarme el día así.,
BARKS_Subtitles/Alerted_GenericSearched_Bodyguard_Hideout5_02,Puedo aliviar su dolor.,
BARKS_Subtitles/MCRez_NotFirst_Yang_YangAllPhase_04,Veo que tu cuerpo empieza a debilitarse.,
BARKS_Subtitles/Sanctuary_BigGuy_HideoutAll_02,Puedo esperarte todo el día.,
BARKS_Subtitles/Alerted_GenericIntruder_BigGuy_Hideout2_01,No puedes pasar.,
BARKS_Subtitles/ThrowCancel_Yang_YangAllPhase_04,"Va a ser que no, idiota.",
BARKS_Subtitles/ThrowCancel_Yang_YangAllPhase_03,No lo creo.,
BARKS_Subtitles/Alerted_GenericSearched_Bodyguard_HideoutAll_04,"{ListenerGender}|gender(Lo,La) tengo a la vista.",
BARKS_Subtitles/Alerted_GenericSearched_Bodyguard_HideoutAll_05,"¡{ListenerGender}|gender(Lo,La) veo!",
BARKS_Subtitles/MCRez_NotFirst_Kuroki_KurokiP2Only_04,¡No tengo problema en matarte mil veces!,
BARKS_Subtitles/MCDominated_Grunt_HideoutAll_03,Me das pena.,
BARKS_Subtitles/MCRez_First_Fengjie_FengjieAllPhase_01,Sospecho que tu inmortalidad será un problema.,
BARKS_Subtitles/MCRez_NotFirst_Kuroki_KurokiP1Only_02,Pondré fin a tu búsqueda de venganza.,
BARKS_Subtitles/Sanctuary_FireDisciple_HideoutAll_03,No caeré en tu trampa.,
BARKS_Subtitles/SpecialAttack_Sifu_SifuP2Only_01,Esta vez no dejaré que abandones este sitio vivo.,
BARKS_Subtitles/Spare_Yang_YangAllPhase_03,"Yo de ti, no habría hecho eso.",
BARKS_Subtitles/MCDominating_Bodyguard_HideoutAll_03,Yo seré quien acabe contigo.,
BARKS_Subtitles/Alerted_GenericSearched_BigGuy_Hideout5_03,Estaré con usted en un momento.,
BARKS_Subtitles/Alerted_MCAttacking_BigGuy_Hideout5_01,Estaré con usted en un momento.,
BARKS_Subtitles/Alerted_MCThreatening_BigGuy_Hideout5_01,Estaré con usted en un momento.,
BARKS_Subtitles/SpecialAttack_Kuroki_KurokiP2Only_06,Te voy a desangrar. ¡Muere!,
BARKS_Subtitles/SpecialAttack_Kuroki_KurokiP2Only_09,Te voy a desangrar...,
BARKS_Subtitles/Alerted_GenericSearched_BigGuy_Hideout3_03,Te aplastaré.,
BARKS_Subtitles/MCRez_NotFirst_Fengjie_FengjieAllPhase_03,Te aplastaré una y otra vez.,
BARKS_Subtitles/MCRez_First_Flashkick_HideoutAll_04,¡Te voy a hacer papilla!,
BARKS_Subtitles/Alerted_MCAttacking_BigGuy_HideoutAllBut5_02,Te machacaré.,
BARKS_Subtitles/MCRez_NotFirst_Fengjie_FengjieP2Only_02,¡Te destruiré a ti y a tu egoísta búsqueda de venganza!,
BARKS_Subtitles/LastMan_BigGuy_HideoutAll_02,Voy a disfrutarlo.,
BARKS_Subtitles/Alerted_MCEscape_FireDisciple_Hideout5_01,Iré primero... si no le importa.,
BARKS_Subtitles/SpecialAttack_Kuroki_KurokiP2Only_05,¡Te mataré!,
BARKS_Subtitles/Alerted_MCAttacking_KungFuStudent_Hideout0_01,¡Me las pagarás!,
BARKS_Subtitles/Alerted_MCAttacking_Grunt_HideoutAllBut5_03,Pagarás por eso.,
BARKS_Subtitles/Alerted_MCAttacking_FireDisciple_HideoutAllBut5_04,"Siempre estoy {SpeakerGender}|gender(dispuesto,dispuesta) a probar mi fuerza.",
BARKS_Subtitles/Alerted_GenericSearched_Grunt_Hideout4_07,Me estoy acercando al objetivo.,
BARKS_Subtitles/FullLife_Sean_SeanP2Only_02,¡Me estoy aburriendo de esta mierda!,
BARKS_Subtitles/MCRez_First_Bodyguard_HideoutAll_04,Me has impresionado.,
BARKS_Subtitles/MCDominating_BigGuy_HideoutAll_02,Voy a pararte de una vez.,
BARKS_Subtitles/Sanctuary_Grunt_HideoutAll_04,¡Te estoy esperando!,
BARKS_Subtitles/Sanctuary_Bodyguard_HideoutAll_03,Te estoy esperando.,
BARKS_Subtitles/Alerted_GenericSearched_BigGuy_Hideout4_01,He encontrado al objetivo.,
BARKS_Subtitles/Alerted_GenericSearched_Flashkick_Hideout4_02,He localizado al objetivo.,
BARKS_Subtitles/MCDominating_FireDisciple_HideoutAll_01,Estaba deseando tener un combate como este.,
BARKS_Subtitles/MCRez_NotFirst_Yang_YangAllPhase_05,"He salvado muchas vidas desde que tomé la de tu padre, pero tú no lo aceptas. ¡Te ciega la venganza!",
BARKS_Subtitles/MCRez_NotFirst_BigGuy_HideoutAll_04,Imposible...,
BARKS_Subtitles/MCRez_NotFirst_FireDisciple_HideoutAll_01,Imposible...,
BARKS_Subtitles/ReactionTakedown_Grunt_HideoutAll_02,¡Es una locura!,
BARKS_Subtitles/MCDominating_Bodyguard_HideoutAll_01,Interesante... Alguien que sabe luchar.,
BARKS_Subtitles/MCRez_First_Kuroki_KurokiP1Only_01,Interesante... ¿Has derrotado a la mismísima muerte?,
BARKS_Subtitles/LastMan_FireDisciple_HideoutAll_03,¿Eso es todo?,
BARKS_Subtitles/Spare_Sean_SeanAllPhase_01,¿Es una broma?,
BARKS_Subtitles/LastMan_Flashkick_HideoutAll_03,Esto se acaba aquí... Ahora.,
BARKS_Subtitles/Alerted_GenericSearched_KungFuStudent_Hideout0_01,¡Es Yang! ,
BARKS_Subtitles/Alerted_GenericSearched_FireDisciple_Hideout5_02,"Es un honor {ListenerGender}|gender(conocerlo,conocerla) por fin.",
BARKS_Subtitles/Alerted_GenericSearched_Flashkick_Hideout5_01,"Es un honor {ListenerGender}|gender(tenerlo,tenerla) aquí.",
BARKS_Subtitles/Alerted_MCThreatening_FireDisciple_Hideout5_01,Será un honor.,
BARKS_Subtitles/LastMan_BigGuy_HideoutAll_03,Se acabó.,
BARKS_Subtitles/MCRez_NotFirst_Flashkick_HideoutAll_01,No... No puede ser...,
BARKS_Subtitles/MCRez_NotFirst_Grunt_HideoutAll_03,Quédate en el suelo.,
BARKS_Subtitles/FullLife_Sean_SeanP1Only_02,"¡Que me des un puñetazo, joder!",
BARKS_Subtitles/Alerted_MCThreatening_Flashkick_HideoutAllBut5_03,Mantén la distancia.,
BARKS_Subtitles/Alerted_GenericSearched_Flashkick_Hideout3_03,La señora Kuroki no quiere que la molesten.,
BARKS_Subtitles/Alerted_GenericSearched_Grunt_Hideout3_02,La señora Kuroki no quiere que la molesten.,
BARKS_Subtitles/MCDominated_Bodyguard_HideoutAll_03,Acabaré con esto ahora.,
BARKS_Subtitles/Alerted_MCAttacking_Bodyguard_Hideout5_01,Deja que le alivie esa tensión.,
BARKS_Subtitles/Alerted_GenericSearched_FireDisciple_HideoutAll_01,Que arda el fuego.,
BARKS_Subtitles/MCRez_NotFirst_Sean_SeanAllPhase_02,Acabemos con esto.,
BARKS_Subtitles/Alerted_GenericSearched_Bodyguard_HideoutAll_02,Luchemos.,
BARKS_Subtitles/LastMan_Flashkick_HideoutAll_02,Acabemos con esto.,
BARKS_Subtitles/Alerted_MCThreatening_Flashkick_HideoutAllBut5_02,Adelante.,
BARKS_Subtitles/Alerted_GenericSearched_Flashkick_Hideout5_03,"La vida es dura y estresante... Por favor, descanse.",
BARKS_Subtitles/Alerted_GenericIntruder_Grunt_Hideout1_04,Mira qué tenemos aquí. Solo a un chiflado se le ocurriría venir.,
BARKS_Subtitles/Alerted_GenericSearched_FireDisciple_Hideout3_01,¿Buscas a alguien?,
BARKS_Subtitles/Alerted_GenericSearched_FireDisciple_Hideout3_03,¿Buscas algo?,
BARKS_Subtitles/Alerted_GenericSearched_FireDisciple_Hideout3_04,¿Buscas la salida?,
BARKS_Subtitles/Alerted_MCAttacking_Grunt_Hideout5_01,"¿Necesita ayuda, {ListenerGender}|gender(señor,señora)?",
BARKS_Subtitles/Alerted_GenericSearched_Grunt_Hideout5_05,"¿Quiere que {ListenerGender}|gender(lo,la) escolte a su habitación, {ListenerGender}|gender(señor,señora)?",
BARKS_Subtitles/Alerted_GenericIntruder_BigGuy_Hideout2_03,Te aplastaré con estas manos.,
BARKS_Subtitles/Spare_Kuroki_KurokiP2Only_02,Se me está agotando la paciencia.,
BARKS_Subtitles/MCRez_NotFirst_Kuroki_KurokiP1Only_05,¡Mi paciencia tiene un límite!,
BARKS_Subtitles/MCDominated_Grunt_HideoutAll_01,"¿Te has puesto {ListenerGender}|gender(nervioso,nerviosa)?",
BARKS_Subtitles/Alerted_GenericSearched_Flashkick_Hideout5_02,"Un placer {ListenerGender}|gender(verlo, verla), {ListenerGender}|gender(señor,señora).",
BARKS_Subtitles/ReactionTakedown_Grunt_HideoutAll_03,¡No puede ser verdad!,
BARKS_Subtitles/MCDominating_Flashkick_HideoutAll_03,¡Ni hablar!,
BARKS_Subtitles/MCDominating_Grunt_HideoutAll_04,¡Ni de puta coña!,
BARKS_Subtitles/ReactionTakedown_Flashkick_HideoutAll_02,No me jodas...,
BARKS_Subtitles/ReactionTakedown_KungFuStudent_Hideout0_01,¡No! ,
BARKS_Subtitles/MCRez_NotFirst_Flashkick_HideoutAll_04,"No... No, ¡otra vez no!",
BARKS_Subtitles/MCDominated_Grunt_HideoutAll_04,Al final no eres tan fuerte.,
BARKS_Subtitles/Alerted_MCEscape_BigGuy_Hideout5_01,"Por aquí no, {ListenerGender}|gender(señor,señora).",
BARKS_Subtitles/Alerted_GenericSearched_Bodyguard_Hideout4_04,No es nada personal.,
BARKS_Subtitles/MCRez_NotFirst_Sean_SeanP2Only_02,Ahora entiendo cómo has podido vencer al mudo...,
BARKS_Subtitles/FullLife_Yang_YangP2Only_02,"Ahora, a ver qué tal aguantas mi pak mei.",
BARKS_Subtitles/ReactionTakedown_Grunt_HideoutAll_05,"Joder, tú...",
BARKS_Subtitles/MCDominating_Grunt_HideoutAll_01,"¡Mierda, mierda!",
BARKS_Subtitles/Alerted_MCThreatening_Grunt_HideoutAllBut5_02,"Vale, vamos allá.",
BARKS_Subtitles/Alerted_MCThreatening_Grunt_HideoutAllBut5_07,"Vale, entonces...",
BARKS_Subtitles/Alerted_GenericSearched_FireDisciple_HideoutAll_02,Solo los fuertes sobreviven.,
BARKS_Subtitles/MCDominated_FireDisciple_HideoutAll_03,"Patético, apenas te tienes en pie.",
BARKS_Subtitles/FullLife_Sean_SeanP1Only_01,Patético. ¿Has olvidado cómo se golpea?,
BARKS_Subtitles/Alerted_MCAttacking_Grunt_Hideout5_02,"Por favor, permítame.",
BARKS_Subtitles/Alerted_GenericSearched_FireDisciple_Hideout5_03,"Por favor, déjeme {ListenerGender}|gender(ayudarlo,ayudarla).",
BARKS_Subtitles/Alerted_MCAttacking_FireDisciple_Hideout5_01,"Por favor, déjeme {ListenerGender}|gender(ayudarlo,ayudarla).",
BARKS_Subtitles/Alerted_MCEscape_Bodyguard_Hideout5_01,"Por favor, quédese conmigo, {ListenerGender}|gender(señor,señora).",
BARKS_Subtitles/MCPickWeapon_Bodyguard_HideoutAll_02,¡Bájala ahora mismo!,
BARKS_Subtitles/MCPickWeapon_BigGuy_HideoutAll_01,Baja eso antes de que alguien se haga daño.,
BARKS_Subtitles/MCPickWeapon_Flashkick_HideoutAll_03,¡Suelta el arma!,
BARKS_Subtitles/MCPickWeapon_Grunt_HideoutAll_01,¡Suelta el arma!,
