key,source,target
Arenas_title_description/ServerRoom.CHAL07.Title,Big Boss,Nagusia
Arenas_title_description/Wuguan.CHAL03.Title,Big Boys,Kantailuak
Arenas_title_description/Corridor.CHAL04.Desc,"Blood for blood, but do not get sliced.","Odola odol truk, baina ez utzi motz zaitzaten."
Arenas_title_description/Stairs.CHAL06.Title,Bloodsoaked Walls,Odolez zikindutako paretak
Arenas_title_description/Corridor.CHAL04.Title,Bloodthirst ,Odol egarria 
Arenas_title_description/RedRoom.CHAL01.Desc,Brawl against Fajar and gangsters from the filth of The Squats.,Borrokatu Fajar-en eta okupa eremu higuingarriko gangsterren aurka.
Arenas_title_description/Stairs.CHAL02.Title,Building Caretaker,Eraikinaren mantenua
Arenas_title_description/Parking.CHAL04.Title,Car Club,Autoen kluba
Arenas_title_description/Parking.CHAL02.Title,Chasing the Purple Dragon,Dragoi Morearen atzetik
Arenas_title_description/Kitchen.CHAL01.Title,Cleaning Checklist,Zerrenda murrizten
Arenas_title_description/Hangar.CHAL02.Desc,Climb your way up and take the high ground.,Igo zaitez eta eskuratu goiko eremua.
Arenas_title_description/Exposition.CHAL05.Title,Close Quarters,Leku itxiak
Arenas_title_description/Exposition.CHAL07.Desc,"Combat is a distinct form of artistic expression, where your fists become the brush that paints your masterpiece.","Borroka espresio artistiko bat da bere hortan, zure maisulana margotzeko erabilitako pintzelak zure ukabilak direlarik."
Arenas_title_description/Kitchen.CHAL03.Title,Compliments to the Chef,Zorionak sukaldariari
Arenas_title_description/RedRoom.CHAL08.Desc,Confront your own transgressions and bury the shame deep within yourself.,Egin aurre zure bekatuei eta gorde ezazu lotsa zure sakonenean.
Arenas_title_description/Hangar.CHAL09.Title,Crackdown,Neurri zorrotzak
Arenas_title_description/DanceFloor.CHAL01.Desc,Crash the party and take over the Dance Floor in a powerful performance.,Izorratu festa: zeureganatu dantzalekua ikuskizun paregabearekin.
Arenas_title_description/Stairs.CHAL05.Title,"Craving the Lion's Share",Nori berea da gizalegea
Arenas_title_description/Kitchen.CHAL04.Title,Crazy 87,87 zoroak
Arenas_title_description/DanceFloor.CHAL04.Title,Crowd Control,Jendetza kontrola
Arenas_title_description/Exposition.CHAL09.Title,"Custodian's Life",Zaintzailearen bizitza
Arenas_title_description/SnowGarden.CHAL05.Title,Cyclone,Zikloia
Arenas_title_description/Wuguan.CHAL05.Title,Dancing With Lions,Lehoiekin dantzan
Arenas_title_description/Pit.CHAL05.Title,Danny?!,Danny?!
Arenas_title_description/ServerRoom.CHAL08.Title,"Darwin's Lab Rats",Darwin-en laborategi arratoiak
Arenas_title_description/Hangar.CHAL08.Title,Dealing With Fajar,Fajar-ez arduratzen
Arenas_title_description/ServerRoom.CHAL03.Title,Death Row ,Heriotz-korridorea 
Arenas_title_description/RoofTop.CHAL04.Desc,Death comes from on high.,Heriotza goitik dator.
Arenas_title_description/DanceFloor.CHAL03.Title,"Death's Dance",Herioren dantza
Arenas_title_description/Rain.CHAL04.Desc,"Defeat all the rain worshippers, and find your sun.","Garaitu euriaren gurtzaile guztiak, eta topatu zure eguzkia."
Arenas_title_description/ServerRoom.CHAL03.Desc,"Defy your fate. Overwhelm those who dare obstruct your path, or die trying.","Desafiatu zure patua. Gainditu zure bidean oztopatzen zaituztenak, edo hil saiatzen."
Arenas_title_description/Park.CHAL02.Desc,Demonstrate to the rookies what a true master is capable of.,Erakutsi hasiberriei benetako maisua zertarako den gai.
Arenas_title_description/RedRoom.CHAL04.Desc,"Destroy Jinfeng's conspiracy and her minions.","Deuseztatu Jinfeng-en konspirazioa eta bere lekaioak."
Arenas_title_description/Hangar.CHAL01.Desc,Do the city a favor and take over the place.,Egin hiriari mesede bat leku hau zeureganatuz.
Arenas_title_description/Exposition.CHAL06.Title,"Don't Mess With Security",Ez haserretau segurtasunekoak
Arenas_title_description/Parking.CHAL09.Desc,"Don't let your dreams be dreams! Enforce the law in this working escalator and assert authority.","Zure ametsak ez daitezela amets soilik izan! Ezarri zure legea eskailera mekaniko hauetan eta gailendu zaitez."
Arenas_title_description/Wuguan.CHAL06.Desc,"Earn your place as the greatest Sifu, by triumphing over your predecessors in this ultimate challenge.","Lortu ezazu Sifu onenaren lekua, zure aurretik zeudenak garaituz azken erronka honetan."
Arenas_title_description/Wuguan.CHAL06.Title,Earth Sifus,Lurreko Sifuak
Arenas_title_description/Parking.CHAL02.Desc,Eliminate the purple mist dealers who are peddling their product in the parking area and clean them out.,Deuseztatu aparkalekuan laino morea banatzen ari diren guztiak eta garbitu eremua.
Arenas_title_description/RoofTop.CHAL05.Desc,"Emerge as the supreme fighter in the city, taking on all the elite warriors.","Aldarrikatu hiriko borrokalaririk onena zarela, eliteko gerlari guztiak garaituz."
Arenas_title_description/Exposition.CHAL06.Desc,"Encircled by the security team, stand your ground and stop their attempts to bring you down.","Segurtasun taldeak inguratu zaitu. Mantendu zure posizioa eta ekidin zu lurrera botatzeko saiakerak."
Arenas_title_description/Kitchen.CHAL09.Desc,"Engulfed by a strong aroma, disorientation sets in. Get a hold of yourself and fight back!","Lurrin indartsu batek inguratzen zaitu eta nahasmenak irensten zaitu. Osatu zaitez eta kontraerasotu!"
Arenas_title_description/Rain.CHAL03.Desc,Enter this ultimate rain fight and defeat them all.,Har ezazu parte euripeko azken borroka honetan eta garaitu itzazu denak.
Arenas_title_description/Corridor.CHAL07.Desc,"Enveloped by the haze of purple mist unleashed upon you by tattooed thugs, fight off the hallucination by eliminating the main threats.","Tatuajedun morroi horiek botatako laino more arraro batek bilduta zaituela, egin aurre haluzinazioei eta deuseztatu mehatxu nagusiak."
Arenas_title_description/Parking.CHAL09.Title,Escalator Enforcement,Eskailera mekanikoen ordena
Arenas_title_description/Wuguan.CHAL01.Title,Eternal Student,Betiereko Ikaslea
Arenas_title_description/Exposition.CHAL04.Desc,Every art connoisseur is well aware of the positioning required to truly immerse oneself in the essence of a piece.,Artean aditua den edonork badaki zeinen garrantzitsua den ikuspegia artelan batean benetan murgiltzeko.
Arenas_title_description/ServerRoom.CHAL07.Desc,"Exhibit your solid professionalism as you take everyone down before they even realise what's going on.",Erakutsi zure profesionaltasun irmoa: eraitsi itzazu guztiak zer gertatzen ari den ohartu baino lehen.
Arenas_title_description/RedRoom.CHAL10.Title,Facing Liming Hui,Liming Hui-ren aurka
Arenas_title_description/Pit.CHAL06.Title,Fair Fight,Bidezko Borroka
Arenas_title_description/Pit.CHAL03.Desc,"Fend off Sean's fighters and their burning heat.",Egin Sean-en borrokalarien eta beraien bero itogarriaren aurka.
Arenas_title_description/ServerRoom.CHAL01.Desc,Fight your way down the silicon bowels of the tower.,Egin ezazu zure bidea dorrearen siliziozko erraietan behera.
Arenas_title_description/Kitchen.CHAL03.Desc,Find the artists. Get rid of them. Fast.,Aurkitu artistak. Kendu itzazu zure bidetik. Azkar.
Arenas_title_description/Park.CHAL06.Desc,Find your place at the top by skillfully battling your way upstream.,Lortu goian dagokizun lekua bidean zehar trebeki borroka eginez.
Arenas_title_description/Pit.CHAL03.Title,Fire Trial,Saio erabakigarria
Arenas_title_description/Kitchen.CHAL05.Title,Fly in the Ointment,Eulia zopan
Arenas_title_description/Stairs.CHAL04.Desc,"For once, you were chosen as the target. Make them regret it.","Behingoz, zu hautatu zaituzte jomugatzat. Damutu daitezela."
Arenas_title_description/Pit.CHAL07.Desc,"Fresh recruits trained hard to reach your level. Show them why you're still the undisputed boss.",Errekruta hauek gogor entrenatu dute zure mailara ailegatzeko. Erakutsiezu zergatik zaren oraindik nagusi ukaezina.
Arenas_title_description/SnowGarden.CHAL02.Title,Frostbite,Hotzez
Arenas_title_description/Pit.CHAL04.Title,"Gang's Revenge",Bandaren mendekua
Arenas_title_description/RedRoom.CHAL07.Desc,Give Sifu another chance to change his untimely fate.,Emaiozu zure Sifuari bere patu goiztiarra aldatzeko beste aukera bat.
Arenas_title_description/DanceFloor.CHAL03.Desc,"Grab and toss them around, show all your moves.",Heldu eta jaurti ingurura, erakutsi zure mugimendu guztiak.
Arenas_title_description/Corridor.CHAL06.Title,Hello Death My Old Friend,"Heriotza, nire lagun zaharra"
Arenas_title_description/Rain.CHAL07.Title,Hidden Disciples,Ezkutuko Dizipuluak
Arenas_title_description/ServerRoom.CHAL04.Title,Hungry Menace,Mehatxu Gosetia
Arenas_title_description/Rain.CHAL05.Title,I Know Kung-Fu,Badakit Kung-Fu
Arenas_title_description/ServerRoom.CHAL02.Title,"I'm In!",Barruan nago!
Arenas_title_description/RedRoom.CHAL09.Title,In It for the Long Run,Luzerako nago hemen
Arenas_title_description/ServerRoom.CHAL05.Title,In a Data Center Far Far Away,Oso urrutiko Datu-Zentro batean
Arenas_title_description/ServerRoom.CHAL02.Desc,"In order to access the mainframe, hack a path through your enemies.","Zerbitzarian sartu aurretik, etsaien artetik bidea ireki beharko duzu."
Arenas_title_description/RedRoom.CHAL08.Title,Inner Demons,Barruko Deabruak
Arenas_title_description/Wuguan.CHAL04.Title,Inner Mastery,Barruko Maisutasuna
Arenas_title_description/Stairs.CHAL04.Title,It Is Not a Game of Death,Ez da joko hilkor bat
Arenas_title_description/Corridor.CHAL01.Title,"It's a Trap!",Tranpa bat da!
Arenas_title_description/Exposition.CHAL02.Desc,"It's pure chaos outside, a mob is trying to make its way in. Prevent them from getting past the entrance at all costs.","Kanpoan kaos hutsa da, jende-multzo batek erakusketara sartu nahi du. Ekidin ezazu barrura sartzea ahal duzun bezala."
Arenas_title_description/Park.CHAL01.Title,Just a Walk in the Park,Parkean ibilalditxo bat
Arenas_title_description/Hangar.CHAL04.Desc,Keep your ground and stay inside the square.,Mantendu zure posizioa eta ez atera karratutik.
Arenas_title_description/Pit.CHAL07.Title,King of Fighters,Borrokalarien Nagusia
Arenas_title_description/SnowGarden.CHAL06.Title,Lady Blood Moon,Odol ilargiaren dama
Arenas_title_description/Pit.CHAL06.Desc,Leaders of the Club all think they can take you down on their own. Deny them any opportunity to land a single blow on you.,Klubeko liderrek alde batera utzi zaitzaketela uste dute. Ez iezaiezu utzi zu behin ere jotzen.
Arenas_title_description/Park.CHAL06.Title,Little Dragon,Dragoi Txikia
Arenas_title_description/Corridor.CHAL02.Desc,"Live the ultimate ""corridor-cinematic-experience"".","Bizi ezazu ""korridore-zinematika-esperientzia""."
Arenas_title_description/Exposition.CHAL08.Title,Lost Spirits,Galdutako Espirituak
Arenas_title_description/Exposition.CHAL08.Desc,"Lost souls seek unique paths. With a meticulous plan, you can guide them towards their redemption.","Galdutako espirituek bide bakarrak bilatzen dituzte. Plan zehatz batekin, beraien erredentziora gidatu ditzakezu."
Arenas_title_description/Kitchen.CHAL09.Title,Lucid Dreaming,Amets Argiak
Arenas_title_description/Kitchen.CHAL06.Desc,Make a mess in every corner of the kitchen.,Utzi sukaldeko bazter guztiak nahaspilatuta.
Arenas_title_description/Hangar.CHAL05.Desc,"Make a mess, and survive too.","Sortu iskanbila, eta biziraun."
Arenas_title_description/DanceFloor.CHAL02.Desc,Make your way to the center of the stage and claim the spotlight for yourself only!,Ireki ezazu eszenatoki erdiranzko bidea eta hartu fokua zuretzat bakarrik!
Arenas_title_description/Park.CHAL04.Title,Maybe Not Just a Walk,Agian ez da ibilaldi bat bakarrik
Arenas_title_description/Hangar.CHAL03.Desc,Move up and pick your targets one by one.,Mugitu eta aukeratu jomugak banaka.
Arenas_title_description/Parking.CHAL03.Title,Never Back Down,Arauak hausten
Arenas_title_description/Rain.CHAL01.Title,Night Call,Gauaren deia
Arenas_title_description/Rain.CHAL06.Title,Nightmare on the Streets,Amesgaiztoa kaleetan
Arenas_title_description/ServerRoom.CHAL06.Title,No Rest for the Wicked,Bakerik ez gaiztoentzat
Arenas_title_description/Exposition.CHAL07.Title,Now This Is Art!,Hau bai dela artea!
Arenas_title_description/Kitchen.CHAL07.Desc,"Now's your time. Infiltrate the gathering and identify the big shots to take them down.","Orain da zure garaia. Infiltratu zaitez bileran, identifikatu nagusiak eta deusezta itzazu."
Arenas_title_description/Corridor.CHAL02.Title,Old Guy,Morroi zaharra
Arenas_title_description/Hangar.CHAL02.Title,On the Edge,Ertzean
Arenas_title_description/Corridor.CHAL06.Desc,"On the precipice of your demise, prove to these ruffians that you won't die alone.","Zure azken hatsaren ertzean, erakutsi gaizkile horiei ez zarela zu bakarrik hilko."
Arenas_title_description/Parking.CHAL07.Title,Paranormal Parking,Aparkaleku paranormala
Arenas_title_description/Pit.CHAL02.Title,Party Crasher,Zapuztailea
Arenas_title_description/Hangar.CHAL07.Desc,"Perched 40 feet above the ground, encircled by enemies, no way out. Get to work.","12 metroko altueran zaude, etsaiez inguratuta, ez dago irteerarik. Hasi lanean."
Arenas_title_description/RoofTop.CHAL02.Title,Perseverance,Iraunkortasuna
Arenas_title_description/Wuguan.CHAL04.Desc,"Practice visualising your enemies, concentrate, and defeat each and every one of them.","Praktikatu zure etsaiak ikustea, kontzentratu eta garaitu itzazu guztiak."
Arenas_title_description/Wuguan.CHAL02.Desc,Practice your cleaning techniques by getting rid of the dirty fighters within your Wuguan.,Praktikatu zure garbitze teknikak eta kendu begi bistatik zure Wuguan-ean sartu diren gaizkile zikin hauek.
Arenas_title_description/Rain.CHAL04.Title,Praise the Sun,Aintza Eguzkiari
Arenas_title_description/Rain.CHAL02.Desc,Prove these street fighters they do not know who they are up against.,Erakutsi kaleko borrokalari hauei ez dakitela noren kontra ari diren.
Arenas_title_description/DanceFloor.CHAL07.Title,Pub Crawl,Tabernako borrokaldia
Arenas_title_description/Corridor.CHAL07.Title,Purple Mist Hallucination,Laino More Haluzinagarria
Arenas_title_description/Parking.CHAL03.Desc,"Put a stop to the shady stuff that's going down around the Bike Shelter.","Geldi ezazu bizikleten aparkalekutik hurbil egiten ari diren negozio iluna."
Arenas_title_description/Stairs.CHAL03.Desc,Put an end to the relentless gang violence.,Buka ezazu banden indarkeria gupidagabearekin.
Arenas_title_description/RedRoom.CHAL10.Desc,Put an end to your bloodshed by vanquishing the five traitors in this ultimate ordeal.,Garaitu bost traidoreak eta bukatu zure sarraskia azken borroka honetan.
Arenas_title_description/Stairs.CHAL08.Title,Race Against Yourself,Zure Buruaren aurkako lasterketa
Arenas_title_description/Stairs.CHAL01.Desc,"Raid the place, arrest the suspects and their boss.","Egin sarekada, atxilotu susmagarriak eta beraien nagusia."
Arenas_title_description/Stairs.CHAL01.Title,Raiding the Block,Sarekana eremuan
Arenas_title_description/SnowGarden.CHAL03.Title,"Razor's Edge",Labanaren Ahoa
Arenas_title_description/DanceFloor.CHAL09.Title,Record Scratch,Disko Akastuna
Arenas_title_description/DanceFloor.CHAL02.Title,Red Hot,Fokupean
Arenas_title_description/RedRoom.CHAL06.Desc,Relive the infamous night that crowned you as the new Earth Sifu.,Bizi berriz Lurreko Sifu berri bezala koroatua izan zinen gau tamalgarria.
Arenas_title_description/Park.CHAL03.Title,Returning Curators,Komisarioen itzulera
Arenas_title_description/Hangar.CHAL06.Desc,Ride the high of beating your enemies as you ascend and descend the Warehouse.,Gozatu Biltegian gora eta behera zabiltzan bitartean etsaiak garaitzearen zirraraz.
Arenas_title_description/Pit.CHAL05.Desc,Rival their weapons with your bare hands.,Egin beraien armei aurre esku-hutsik.
Arenas_title_description/Hangar.CHAL06.Title,Rollercoaster,Errusiar mendia
Arenas_title_description/Parking.CHAL01.Title,Rumble in the Garage,Zalaparta sotoan
Arenas_title_description/RedRoom.CHAL02.Title,Rush: The Club,Presa: Kluba
Arenas_title_description/RedRoom.CHAL03.Title,Rush: The Museum ,Presa: Museoa
Arenas_title_description/RedRoom.CHAL05.Title,Rush: The Sanctuary,Presa: Santutegia
Arenas_title_description/RedRoom.CHAL01.Title,Rush: The Squats ,Presa: Okupa eremua
Arenas_title_description/RedRoom.CHAL04.Title,Rush: The Tower,Presa: Dorrea
Arenas_title_description/Hangar.CHAL01.Title,Rusty Business,Herdoildutako Negozioa
Arenas_title_description/Pit.CHAL01.Title,Ruthless,Errukigabe
Arenas_title_description/Stairs.CHAL07.Title,Second Wind,Bigarren hatsa
Arenas_title_description/ServerRoom.CHAL01.Title,Sensitive Data,Datu sentikorrak
Arenas_title_description/RoofTop.CHAL03.Desc,"She's trying to leave. Do not let her go, do whatever it takes.","Ihes egiten saiatzen ari da. Ez ezaiozu utzi, egizu beharrezkoa dena."
Arenas_title_description/SnowGarden.CHAL04.Title,Sheer Cold,Hotz fina
Arenas_title_description/DanceFloor.CHAL01.Title,Show Time,Has dadila ikuskizuna
Arenas_title_description/Kitchen.CHAL04.Desc,Show the ones looking for you they should have stayed home.,Erakutsi zure bila datozenei hobe zutela etxean geratzea.
Arenas_title_description/SnowGarden.CHAL01.Title,Snow Day ,Elur eguna
Arenas_title_description/Stairs.CHAL07.Desc,"Some enemies don't give up easily, time to teach them a valuable lesson.","Etsai batzuk ez dute erraz amore ematen, lezio garrantzitsua irakasteko garaia da."
Arenas_title_description/DanceFloor.CHAL06.Desc,Some partygoers have overstayed their welcome. Show them the way out.,"Festazale batzuk ongietorriaz gehiegi baliatzen ari dira. Erakutsi iezazuezu kanporako bidea."
Arenas_title_description/RedRoom.CHAL03.Desc,Spar with Kuroki and her favorite artists and servants.,"Egin borroka Kuroki eta bere artista eta zerbitzari gustukoenekin."
Arenas_title_description/Corridor.CHAL05.Title,Spiritual Elevation ,Igotze Espirituala
Arenas_title_description/RedRoom.CHAL05.Desc,Stand up to Yang and the renowned guardians of The Sanctuary.,Borrokatu Yang eta Santutegiko zaindari entzutetsuen aurka.
