LineCode,LineText,OriginalText,Comment,Speaker,StoryNode
line:e2d813,tontorreko iturri termalak\ngoranzko haize-bolada izugarriak sortzen ditu,the hot springs at the peak\ncreate these amazing updrafts,,Original,AuntChat
line:40798a,sinestezina da han goian\nhegan egitearen sentsazioa,the feeling of flying up there\nis incredible,,Original,AuntChat
line:f124e6,baina,but,,Player,AuntChat
line:a1168c,ez da,isn't it,,Player,AuntChat
line:c8cb65,arriskutsua?,kind of dangerous?,,Player,AuntChat
line:65f725,ez gehiegi,not really,,Original,AuntChat
line:2dc6ae,zuretzat ez da arazoa izango!,it'll be no problem for you!,,Original,AuntChat
line:a9b82f,hmm,hmm,,Player,AuntChat
line:0acd94,zer nolako deia\nespero duzu bada?,so what kind of call\nare you waiting for?,Only if the player continues to talk to the Aunt.,Player,AuntChat
line:e495d6,oh.. em,oh.. um,,Player,AuntChat
line:e1eca7,badakizu...,you know...,,Player,AuntChat
line:fe9497,...,...,,Player,AuntChat
line:39e326,zera hori,the thing,,Player,AuntChat
line:a48a7c,...,...,,Original,AuntChat
line:9c8c35,ohhh! sentitzen dut,ohhh! i'm sorry,,Original,AuntChat
line:4d933a,ahaztuta neukan,i forgot,,Original,AuntChat
line:04095c,"ez kezkatu, laztana",don't worry about it dear,,Original,AuntChat
line:0c7e66,ziur dena ongi\naterako dela,i'm sure it'll all work\nout fine,,Original,AuntChat
line:69afd0,nik uste,i think,,Original,AuntChat
line:e13932,ibilaldi polit batek lagunduko\ndizula hori burutik kentzen,a nice hike will help you\ntake your mind off it,,Original,AuntChat
line:109615,egun polita da,ahh sure is a nice day,Only if the player continues to talk to the Aunt.,Original,AuntChat
line:923d86,"maite dut hemen egotea, badakizu?","i love it here, you know?",,Original,AuntChat
line:2640d9,"bai, polita da","yeah, it's nice",,Player,AuntChat
line:797bbe,hiria ere nahiko\npolita da!,the city's pretty good\ntoo though!,,Player,AuntChat
line:a96f99,ekintza paregabeak ditu,it's got cool events,,Player,AuntChat
line:af8fd9,janari bikaina,great food,,Player,AuntChat
line:ba2c5e,eta baita,and also,,Player,AuntChat
line:2eade3,mugikorraren estaldura ere!,cellphone reception!,,Player,AuntChat
line:c73cbb,"laster izango dugu\nestaldura, badakizu!","we'll get reception too\nsoon, ya know!",,Original,AuntChat
line:89c559,irrati dorre berria\neraikitzen ari dira,they're building a new\nradio tower,,Original,AuntChat
line:49e489,oh,oh,,Player,AuntChat
line:6b6e0e,ederra litzateke,that'll be nice,,Player,AuntChat
line:d4c9d3,"ahh, hau ederra de benetan","ahh, it's so lovely here",Only if the player continues to talk to the Aunt.,Player,AuntChat
line:223ea1,egun osoa eman nezake hemen eserita,i could sit here all day,,Player,AuntChat
line:de9d91,eta hala egingo dut,and i will,,Player,AuntChat
line:b7a7b0,CLAIRE!,CLAIRE!,,Original,KidStart
line:c4bfc9,ba al zenekien...,did you know...,,Original,KidStart
line:89c5de,<color=red>korrika zabiltzala {{JumpButton}} eutsita</color>\n airean planeatuko duzula?!?,you can <color=red>hold {{JumpButton}} while running</color>\nto glide through the air?!?,,Original,KidStart
line:63f4be,jakina!,of course!,,Player,KidStart
line:bc1f77,mundu guztiak daki hori,everyone knows that,,Player,KidStart
line:59da5d,zergatik galdetzen duzu?,why do you ask?,,Player,KidStart
line:11dc70,eztakit,i dunno,,Original,KidStart
line:8d1f3a,jakin nahi zenuenaren\nsentipen bat izan dut,i just had a feeling\nyou might want to know,,Original,KidStart
line:5f1cb6,hm,um,,Player,KidStart
line:9857a1,ok,ok,,Player,KidStart
line:6b0d0c,itxaron,"wait, uh",Only if the player continues to talk.,Player,KidStart
line:2c740b,nola planeatu berriro?,how do i glide again?,,Player,KidStart
line:a5b030,"aizu, <color=red>eutsi {{JumpButton}} korri egin bitartean</color>, inozoa!",you <color=red>hold {{JumpButton}} while running</color> dummy!,,Original,KidStart
line:131a7c,ederki ez duzula ahaztu\nziurtatu nahi nuen,cool just making sure\nyou haven't forgotten,,Player,KidStart
line:975e5c,ez dut inoiz ezer ahazten!,i never forget anything!,,Original,KidStart
line:845d4e,jeinu bat naiz,i'm a genius,,Original,KidStart
line:32fa08,ongi azken aldiz,ok one last time,Only if the player continues to talk.,Player,KidStart
line:b08a47,zer da esan duzun hori?,what was that thing you said?,,Player,KidStart
line:703f8a,<color=red>EUTSI {{JumpButton}} KORRIKA ARI ZARELA PLANEATZEKO!!!</color>,<color=red>HOLD {{JumpButton}} WHILE RUNNING TO GLIDE!!!</color>,,Original,KidStart
line:5746d5,mila esker,ok thanks,,Player,KidStart
line:509a8c,"serio, azken aldiz",seriously just one last time,,Player,KidStart
line:1a38b1,EUTSI,HOLD,Only if the player continues to talk.,Original,KidStart
line:77a928,{{JumpButton}},{{JumpButton}},,Original,KidStart
line:f7a6f2,...,TO,,Original,KidStart
line:193b8b,PLANEATZEKO!!!!,GLIDE!!!!,,Original,KidStart
line:abcac6,hitz ematen dizut ez dudala ahaztuko,ok i promise i won't forget,,Player,KidStart
line:ff18cb,beste behin bak-,just one more-,Only if the player continues to talk.,Player,KidStart
line:e27b74,EZ!,NO!,,Original,KidStart
line:81083b,EEEEZ!,NOOOO!,,Original,KidStart
line:9ab14d,EEEEEEEEEEEEEZ!,NOOOOOOOOOOOOOOOOOOO!,,Original,KidStart
line:767e99,BESTERIK EZ!!!!,NO MORE!!!!,,Original,KidStart
line:29cac4,"EH, ZU",HEY YOU,,Original,OtherKidStart
line:17a485,AURKITU 15 MASKOR!,FIND ME 15 SHELLS!,,Original,OtherKidStart
line:c5ecea,zer! zergatik?,what! why?,,Player,OtherKidStart
line:e4e484,nahi ttut,i want em,,Original,OtherKidStart
line:88d371,"bai, baina zergatik?","yeah, but why",,Player,OtherKidStart
line:7a437e,sekretua da!,it's a secret!,,Original,OtherKidStart
line:a889a8,"ah, ok","heh, ok",,Player,OtherKidStart
line:ad9058,begia irekita izango dut,i'll keep an eye out,,Player,OtherKidStart
line:875ed5,"BI BEGIAK irekita, mesedez!","keep BOTH eyes out, please!",,Original,OtherKidStart
line:feb9a5,"aizu, zure maskorrak ditut","hey, i got your shells",If the player returns with the shells.,Player,OtherKidStart
line:051e4c,ooooo!,ooooo!,,Original,OtherKidStart
line:c72422,hartuko ttut!,i'll take em!,,Original,OtherKidStart
line:e1241c,ta orain zer,so now what,,Player,OtherKidStart
line:3e628d,zer,what,,Original,OtherKidStart
line:831bce,esan nahi dut,i mean,,Player,OtherKidStart
line:147c2e,eh,uh,,Player,OtherKidStart
line:1b9367,zeozer lortuko dut,do i get anything,,Player,OtherKidStart
line:2fde5e,ez!,no!,,Original,OtherKidStart
line:05680a,"ene, ezta eskerrik asko bat ere?","geez, not even a thank you?",,Player,OtherKidStart
line:16ea80,hori ez da oso polita,that's not very nice,,Player,OtherKidStart
line:bae3c7,bizirik irauteko behar dena egiten dut!,i do what it takes to survive!,,Original,OtherKidStart
line:648a49,ez dizut inoiz ezer agindu,i never promised you anything,,Original,OtherKidStart
line:caf7cc,...,...,,Player,OtherKidStart
line:8e0304,egia esan,actually,,Original,OtherKidStart
line:9d6eff,zerbait daukat zuretzat,i do have something for you,,Original,OtherKidStart
line:4d16a1,lan berri bat,a new job,,Original,OtherKidStart
line:921eeb,badaukat lana,i already have a job,,Player,OtherKidStart
line:4ab932,izan dadila hau zure albo-lantxoa,well make this your side gig,,Original,OtherKidStart
line:1054b1,eta hartzen ez badut,what if i don't take it,,Player,OtherKidStart
line:5ac191,zuk ikusi!,it's your loss!,,Original,OtherKidStart
line:2f60fc,lan onak aurkitzea zaila da,good jobs are hard to find,,Original,OtherKidStart
line:0c16fe,...,...,,Original,OtherKidStart
line:c46b69,beraz zer izango da?,so what will it be?,Jumps to ConsiderKidQuest.,Original,OtherKidStart
line:21d908,zer gertatzen da maskorrekin?,so what's the deal with the shells?,If the player talks to them again.,Player,OtherKidStart
line:414248,ez da zure kontua!,it's none of your business!,,Original,OtherKidStart
line:14cf86,baina,except,,Original,OtherKidStart
line:dfc345,niri 15 lortzea\nzure kontua da,for the business of you\ngetting me 15 of them,,Original,OtherKidStart
line:2e35f7,{{Item_Shell}} maskor dauzkat,i got {{Item_Shell}} shells so far!,If the player talks to them again with some shells.,Player,OtherKidStart
line:0e8aeb,galdera azkar bat\negin diezazuket?,hey can i ask you\na quick question,,Original,OtherKidStart
line:0a19d0,noski,sure,,Player,OtherKidStart
line:8a7060,{{Item_Shell}} 15 baino gehiago edo gutxiago da,is {{Item_Shell}} more or less than 15,,Original,OtherKidStart
line:02f9ee,"eh,","uh,",,Player,OtherKidStart
line:e8e0b5,gutxiago?,less?,,Player,OtherKidStart
line:588d2f,bai,yeah,,Original,OtherKidStart
line:4b7c40,hala da,it is,,Original,OtherKidStart
line:53148f,salgairik ez baduzu...,if you don't have the goods...,,Original,OtherKidStart
line:96850b,...ez niri denborarik galduarazi!,...then don't waste my time!,,Original,OtherKidStart
line:b94465,enee ongi da!,okay geez!,,Player,OtherKidStart
line:961fbd,zer esan dezaket,what can i say,,Original,OtherKidStart
line:974e98,animalia zorrotza nauzu,i run a tight ship,,Original,OtherKidStart
line:e38563,hmmm,hmmm,,Original,FoxStart
line:b29d15,<color=red>Belatz Tontor</color>era ibilaldi\nbat egitea pentsatu dut,i was planning on hiking\nto <color=red>Hawk Peak</color>,,Original,FoxStart
line:7ba030,baina bidezidorra bat-batean\noso malkartsu bihurtu da,but the path suddenly got really steep,,Original,FoxStart
line:83c6cd,eskalatzeko modukoa dela uste duzu?,do you think it's climbable?,,Player,FoxStart
line:bb9ad1,"bueno, izan liteke <color=red>urrezko luma</color>\nbat bazenu","well, it would be if i had\na <color=red>golden feather</color>",,Original,FoxStart
line:c5407a,badirudi <color=red>Bisitarien Zentroa</color>n\nsaltzen dituztela,apparently they sell them\nat the <color=red>Visitor Center</color>,,Original,FoxStart
line:4cacb9,"orduan, nola funtzionatzen dute <color=red>urrezko lumek</color>?","so, how do <color=red>golden feathers</color> work?",If the player talks to them again.,Player,FoxStart
line:37e9e6,"tira, baten bat zure\npoltsikoan daukazunean","well, when you've got\none in your pocket",,Original,FoxStart
line:477585,askoz arinago sentituko zara,you'll feel much lighter,,Original,FoxStart
line:3bbcd0,horrek asko errazten du\nlabarrak eskalatzea!,that makes it easier to\nclimb up cliffs!,,Original,FoxStart
line:e82492,uau,woah,,Player,FoxStart
line:5dd075,ooonaaa,that's pretty cool,,Player,FoxStart
line:9d3ba7,bai horixe!,it is indeed!,,Original,FoxStart
line:2c9d43,zergatik zoaz Belatz Tontorrera?,so why are you going to Hawk Peak?,If the player talks to them again.,Player,FoxStart
line:cf58a9,naturaren argazki eder batzuk\nateratzera noa gailurretik,i'm going to take some great\nnature shots from the top,,Original,FoxStart
line:f9074d,ez nuke nire burua\nargazkilari moduan izendatuko baina...,i wouldn't call myself a photographer but...,,Original,FoxStart
line:02b8b9,denbora-pasa dibertigarria da,it's just a fun hobby,,Original,FoxStart
line:bf4b14,ni ere banoa!,i'm going there too!,,Player,FoxStart
line:fd2045,ah bai?,oh yeah?,,Original,FoxStart
line:6e4c47,ibilbide luzea dela entzun dut,i heard it's a long hike,,Original,FoxStart
line:34b8e9,"hala da, eh?","it is, eh?",,Player,FoxStart
line:ed5d70,nire izeba beti bezala dago,my aunt's always like,,Player,FoxStart
line:215373,"""ibilaldi labur bat besterik ez da!""","""it's just a short hike away!""",,Player,FoxStart
line:fb4e3a,baina aire zabalaren friki bat da,but she's a total outdoors geek,,Player,FoxStart
line:8c7a1f,beraz,so,,Player,FoxStart
line:b7e9d9,uste dut gutxietsi egiten duela,i think she underestimates it,,Player,FoxStart
line:7ba994,nik baietz esango nuke,i'd say so,,Original,FoxStart
line:726a9c,aldi berean igotzen badugu,if we make it up at the same time,If the player talks to them again.,Player,FoxStart
line:4286c4,argazkia atera beharko didazu!,you'll have to get my picture!,,Player,FoxStart
line:4a5a70,plan ona dirudi!,sounds like a plan!,,Original,FoxStart
line:b69196,han egongo gara!,see ya there!,,Player,FoxStart
line:d8da86,"tira, hau pixka\nbat lotsagarria da",this is a little\nbit embarrassing,Only if the Artist is painting the Goat Ranger.,Original,VisitorCenterStart
line:b49975,ez dut uste oso\nfotogenikoa naizenik,i don't think i'm\nvery photogenic,,Original,VisitorCenterStart
line:790618,baina pozten naiz\nbere artearekin lagundu ahal izateaz!,but i'm glad i can\nhelp with his art!,,Original,VisitorCenterStart
line:773c2e,nolanahi ere,anyway,,Original,VisitorCenterStart
line:7cc3e6,elegante daukazu txapel hori!,lookin' sharp in that hat!,Only if the player is wearing the Ranger Hat.,Original,VisitorCenterStart
line:9076cd,iepa!,howdy!,,Original,VisitorCenterStart
line:40a49b,zer moduz?,what's up?,,Original,VisitorCenterStart
line:663e36,<color=red>urrezko lumarik</color> eros dezaket?,can I buy a <color=red>golden feather?</color>,Dialogue choice.,Player,VisitorCenterStart
line:7c01cd,zer salgai mota duzue hemen?,what kind of merch do you sell?,Dialogue choice.,Player,VisitorCenterStart
line:c822cd,ezer askorik ez,nothing much,Dialogue choice.,Player,VisitorCenterStart
line:a7d95e,baiba,yup,"If the player says ""nothing much.""",Original,VisitorCenterStart
line:e6c071,hala izaten da,that's how it goes,,Original,VisitorCenterStart
line:d2ce1b,nola lagundu zaitzaket?,how can i help you?,"The first time the player talks to the Goat Ranger, having heard of Golden Feathers.",Original,VisitorCenterStart
line:21f53d,hemen <color=red>urrezko lumak</color> saltzen dituzula entzun dut,i heard you sell <color=red>\ngolden feathers</color> here,,Player,VisitorCenterStart
line:2c9feb,"a, bai!","ah, we do!",,Original,VisitorCenterStart
line:65be46,40 txanponen truke\neros dezakezu bat.,you can buy one\nfor 40 coins,,Original,VisitorCenterStart
line:bc4372,hartu egingo dut!,i'll take it!,Dialogue choice.,Player,VisitorCenterStart
line:893486,zer gehiago saltzen duzu?,what else do you sell?,Dialogue choice.,Player,VisitorCenterStart
line:5274f3,oraingoz ongi nago,i'm good for now,Dialogue choice.,Player,VisitorCenterStart
line:505bd5,probintzia parkeko\nproduktuak ere saltzen ditugu.,we also sell provincial\npark merchandise,In response to the player saying bye.,Original,VisitorCenterStart
line:d739f6,"ados, zaindu","alrighty, take care",,Original,VisitorCenterStart
line:bc241f,"hm,","um,","The first time the player talks to the Goat Ranger, NOT having heard of Golden Feathers.",Original,VisitorCenterStart
line:27d375,eztakit,i dunno,,Original,VisitorCenterStart
line:6295ae,ongi nago,i guess i'm fine,,Original,VisitorCenterStart
line:f627f3,ados!,alrighty!,,Original,VisitorCenterStart
line:9149a2,abisatu jarraibiderik behar duzun\nedo zerbait erosi nahi baduzu,let me know if you need directions\nor want to buy anything,,Original,VisitorCenterStart
line:8051f6,"oh, zer salgai dituzu?","oh, what are you selling?",,Player,VisitorCenterStart
line:f74cad,"bueno, probintzia parkeko\nproduktuak ditugu","well, we have provincial\npark merch",,Original,VisitorCenterStart
line:03b0f8,eta ibilaldietarako gauzak\nadibidez <color=red>urrezko lumak</color>,and some hiking supplies\nlike <color=red>golden feathers</color>,,Original,VisitorCenterStart
line:4996e6,zer dira horiek?,what are those?,,Player,VisitorCenterStart
line:da421d,apartekoa dirudi,they sound cool,,Player,VisitorCenterStart
line:f56321,sekulakoak dira!,they are cool!,,Original,VisitorCenterStart
line:fd1b15,harkaitz-eskalada errazten dute,they make rock climbing easier,,Original,VisitorCenterStart
line:852b3a,eta zure kasuan,and in your case,,Original,VisitorCenterStart
line:0f4a0c,hegan egiten ere lagunduko dizu,will also help you fly,,Original,VisitorCenterStart
line:a936ff,!!,!!,,Player,VisitorCenterStart
line:24358e,40 txanponen truke eros dezakezu bat,you can buy one for 40 coins,,Original,VisitorCenterStart
line:b56114,hartu egingo dut!,i'll take it!!,Dialogue choice.,Player,VisitorCenterStart
line:5294c3,zer salgai mota duzue hemen?,what kind of merch do you sell?,Dialogue choice.,Player,VisitorCenterStart
line:68907f,orain ongi nago,i'm good for now,Dialogue choice.,Player,VisitorCenterStart
line:c2141d,"ados ba, zaindu","alrighty, take care",,Original,VisitorCenterStart
line:590cdd,"egia esan, dena salduta dugu","actually, we're all sold out",If the player tries to buy feathers but they're sold out.,Original,BuyFeatherStart
line:811e78,lehentxeago <color=red>mutil bat</color> etorri da\neta gelditzen zen guztia\neraman du,<color=red>a boy</color> came by earlier\nand bought most of the\nremaining stock,The boy is highlighted because it hints you'll find him later.,Original,BuyFeatherStart
line:a6297a,osteratxo bat\negitera joango zen!,he must be going\non some hike!,,Original,BuyFeatherStart
line:8cdf8a,"noski, hementxe duzu!","sure, here ya go!",If the player buys a feather from them.,Original,BuyFeatherStart
line:069cfe,hauek dira ditugun\nluma guztiak,that's actually all\nthe feathers we have,After the player buys the last feather.,Original,BuyFeatherStart
line:4e8558,lehentxeago <color=red>mutil ba</color> etorri da\neta gelditzen zen guztia\neraman du,<color=red>a boy</color> came by earlier\nand bought most our\nremaining stock,,Original,BuyFeatherStart
line:d958fc,beste nonbait bilatu\nbeharko dituzu,you'll have to find\nmore elsewhere,,Original,BuyFeatherStart
line:5fda34,barkatu!,sorry!,,Original,BuyFeatherStart
line:522b92,noski! 40 txanpon izango dira,sure! that'll be 40 coins,"If the player tries to buy, but doesn't have money.",Original,BuyFeatherStart
line:bf6622,oh itxaron,oh wait,,Player,BuyFeatherStart
line:e93615,ez daukat nahikoa diru,i don't have enough money,,Player,BuyFeatherStart
line:f011d1,...,...,,Player,BuyFeatherStart
line:f9fe9a,hala ere!,yet!,,Player,BuyFeatherStart
line:df579f,oh!,oh,The next time the player doesn't have enough money.,Player,BuyFeatherStart
line:1cb666,ahaztu egin zait,yeah i forgot,,Player,BuyFeatherStart
line:8cc5ff,diru gehiago behar dut oraindik,i still need to find more cash,,Player,BuyFeatherStart
line:16706a,"<sprite name=""UpArrow"" tint=1> Bisitari Zentroa\n<sprite tint=1 name=""LeftArrow""> Belatz Tontor Bidea","<sprite name=""UpArrow"" tint=1> Visitor Center\n<sprite tint=1 name=""LeftArrow""> Hawk Peak Trail",This is a sign.,Original,VistorCenterCrossroadsStart
line:81143b,"Sid Hondartza <sprite tint=1 name=""RightArrow"">\n<sprite tint=1 name=""DownArrow""> Shirley-ren Lurmuturra","Sid Beach <sprite tint=1 name=""RightArrow"">\n<sprite tint=1 name=""DownArrow""> Shirley's Point",,Original,VistorCenterCrossroadsStart
line:eb7a43,"<sprite name=""UpArrow"" tint=1> Basobeltz Bidea\n<sprite name=""LeftArrow"" tint=1> Belatz Tontor Bidea","<sprite name=""UpArrow"" tint=1> Blackwood Trail\n<sprite name=""LeftArrow"" tint=1> Hawk Peak Trail",,Original,KioskSignStart
line:1024d7,"<sprite name=""DownArrow"" tint=1> Bisitari Zentroa\nHondartza Zuri Bidea <sprite name=""RightArrow"" tint=1>","<sprite name=""DownArrow"" tint=1> Visitor Center\nWhite Beach Trail <sprite name=""RightArrow"" tint=1>",,Original,KioskSignStart
line:4957ee,"<sprite name=""UpArrow"" tint=1> Belatz Tontor Bidea\n<sprite name=""UpArrow"" tint=1> Erreka On Bidaxka","<sprite name=""UpArrow"" tint=1> Hawk Peak Trail\n<sprite name=""UpArrow"" tint=1> Good Creek Path",,Original,HawkPeakRiverSignStart
line:628d3d,"<sprite name=""LeftArrow"" tint=1> Errege Muino\nBasobeltz Bidea <sprite name=""RightArrow"" tint=1>","<sprite name=""LeftArrow"" tint=1> Royal Ridge\nBlackwood Trail <sprite name=""RightArrow"" tint=1>",,Original,HawkPeakRiverSignStart
line:326ae7,"<sprite name=""UpArrow"" tint=1> Belatz Tontor Bidea\n<sprite name=""UpArrow"" tint=1> Erreka On Bidaxka","<sprite name=""UpArrow"" tint=1> Hawk Peak Trail\n<sprite name=""UpArrow"" tint=1> Good Creek Path",,Original,RoyalRidgeSignStart
line:ede0b0,"<sprite name=""DownArrow"" tint=1> Basobeltz Bidea\n<sprite name=""LeftArrow"" tint=1> Errege Muino","<sprite name=""DownArrow"" tint=1> Blackwood Trail\n<sprite name=""LeftArrow"" tint=1> Royal Ridge",,Original,RoyalRidgeSignStart
line:b2763c,"<sprite name=""UpArrow"" tint=1> Belatz Tontor Bidea\n<sprite name=""DownArrow"" tint=1> Erreka On Bidaxka\nMeteoro Lakua <sprite name=""RightArrow"" tint=1>","<sprite name=""UpArrow"" tint=1> Hawk Peak Trail\n<sprite name=""DownArrow"" tint=1> Good Creek Path\nMeteor Lake <sprite name=""RightArrow"" tint=1>",,Original,FireTowerSnowSignStart
line:e9a55c,"<sprite name=""UpArrow"" tint=1> Belatz Tontor Bidea","<sprite name=""UpArrow"" tint=1> Hawk Peak Trail",,Original,HawkPeakSignStart
line:4da2e1,Bide hau osatzeko <color=yellow>7 Urrezko Luma</color>\nbehar dira gutxienez,At least <color=yellow>7 Golden Feathers</color> are\nrequired to complete this hike.,,Original,HawkPeakSignStart
line:12ab30,Txangozale hasiberriek gehiago erabili beharko lukete,Novice hikers should consider using more.,,Original,HawkPeakSignStart
