;NUMPAD 2;NUMPAD 2;PAVÉ NUM. 2;ZIFBLK 2;T. NUM. 2;TASTNUM 2;2#(TECLADO#NUMÉRICO);NUMPAD 2;NUMPAD 2;숫자패드 2;数字2键;數字2鍵;
;NUMPAD 3;NUMPAD 3;PAVÉ NUM. 3;ZIFBLK 3;T. NUM. 3;TASTNUM 3;3#(TECLADO#NUMÉRICO);NUMPAD 3;NUMPAD 3;숫자패드 3;数字3键;數字3鍵;
;NUMPAD 4;NUMPAD 4;PAVÉ NUM. 4;ZIFBLK 4;T. NUM. 4;TASTNUM 4;4#(TECLADO#NUMÉRICO);NUMPAD 4;NUMPAD 4;숫자패드 4;数字4键;數字4鍵;
;NUMPAD 5;NUMPAD 5;PAVÉ NUM. 5;ZIFBLK 5;T. NUM. 5;TASTNUM 5;5#(TECLADO#NUMÉRICO);NUMPAD 5;NUMPAD 5;숫자패드 5;数字5键;數字5鍵;
;NUMPAD 6;NUMPAD 6;PAVÉ NUM. 6;ZIFBLK 6;T. NUM. 6;TASTNUM 6;6#(TECLADO#NUMÉRICO);NUMPAD 6;NUMPAD 6;숫자패드 6;数字6键;數字6鍵;
;NUMPAD 7;NUMPAD 7;PAVÉ NUM. 7;ZIFBLK 7;T. NUM. 7;TASTNUM 7;7#(TECLADO#NUMÉRICO);NUMPAD 7;NUMPAD 7;숫자패드 7;数字7键;數字7鍵;
;NUMPAD 8;NUMPAD 8;PAVÉ NUM. 8;ZIFBLK 8;T. NUM. 8;TASTNUM 8;8#(TECLADO#NUMÉRICO);NUMPAD 8;NUMPAD 8;숫자패드 8;数字8键;數字8鍵;
;NUMPAD 9;NUMPAD 9;PAVÉ NUM. 9;ZIFBLK 9;T. NUM. 9;TASTNUM 9;9#(TECLADO#NUMÉRICO);NUMPAD 9;NUMPAD 9;숫자패드 9;数字9键;數字9鍵;
;CTRL ESKUINA;RIGHT CTRL;CTRL DROITE;STRG RECHTS;CTRL DCHA.;CTRL DES.;CTRL DIR.;ПРАВЫЙ CTRL;RIGHT CTRL;우측 컨트롤;右CTRL;右CTRL;
;CTRL EZKERRA;LEFT CTRL;CTRL GAUCHE;STRG LINKS;CTRL IZDA.;CTR SIN.;CTRL ESQ.;ЛЕВЫЙ CTRL;LEFT CTRL;좌측 컨트롤;左CTRL;左CTRL;
;EZKER;LEFT;FLÈCHE GAUCHE;LINKS;IZQUIERDA;SINISTRA;ESQ.;ВЛЕВО;LEFT;방향키 좌;离开;離開;
;ESCAPE;ESCAPE;ÉCHAP;ESC;ESC;ESC;ESC;ESCAPE;ESCAPE;ESCAPE;退出;退出;
;EZABATU;BACKSPACE;RETOUR ARRIÈRE;RÜCKTASTE;RETROCESO;BACKSPACE;BACKSPACE;BACKSPACE;BACKSPACE;BACKSPACE;退格;退格;
;ESKUIN ALT;RIGHT ALT;ALT DROITE;ALT RECHTS;ALT DCHA.;ALT DESTRA;ALT DIR.;ПРАВЫЙ ALT;RIGHT ALT;우측 알트;右ALT;右ALT;
;EZKER ALT;LEFT ALT;ALT GAUCHE;ALT LINKS;ALT IZDA.;ALT SINISTRA;ALT ESQ.;ЛЕВЫЙ ALT;LEFT ALT;좌측 알트;左ALT;左ALT;
;ESKUIN;RIGHT;FLÈCHE DROITE;RECHTS;DERECHA;DESTRA;DIR.;ВПРАВО;RIGHT;방향키 우;右;右;
;GORA;UP;FLÈCHE HAUT;RAUF;ARRIBA;SU;CIMA;ВВЕРХ;UP;방향키 상;上;上;
;BEHERA;DOWN;FLÈCHE BAS;RUNTER;ABAJO;GIÙ;BAIXO;ВНИЗ;DOWN;방향키 하;下;下;
;ESPAZIOA;SPACE;ESPACE;LEERTASTE;ESPACIO;BARRA SPAZ.;ESPAÇO;ПРОБЕЛ;SPACE;스페이스;空格;空格;
;MAIUS EZKER;LEFT SHIFT;MAJ GAUCHE;UMSCHALTTASTE LINKS;MAYÚS IZDA.;MAIUSC SIN.;SHIFT ESQ.;ЛЕВЫЙ SHIFT;LEFT SHIFT;좌측 시프트;左SHIFT;左SHIFT;
;MAIUS ESKUIN;RIGHT SHIFT;MAJ DROITE;UMSCHALTTASTE RECHTS;MAYÚS DCHA.;MAIUSC DES.;SHIFT DIR.;ПРАВЫЙ SHIFT;RIGHT SHIFT;우측 시프트;右SHIFT;右SHIFT;
;SARTU;ENTER;ENTRÉE;ENTER;INTRO;INVIO;ENTER;ENTER;ENTER;엔터;回车;回車;
;AMAIERA;END;FIN;ENDE;FIN;FINE;END;END;END;END;结束;結束;
;HOME;HOME;ORIGINE;POS1;INICIO;HOME;HOME;HOME;HOME;HOME;主屏幕;主螢幕;
;@ BAIEZTATU;@ CONFIRM;@ CONFIRMER;@ BESTÄTIGEN;@ CONFIRMAR;@ CONFERMA;@ CONFIRMAR;@ ПОДТВЕРДИТЬ;@ OK;확인: @; @ 确认; @ 確認;
;JARRAITU;CONTINUE;REPRENDRE;FORTSETZEN;CONTINUAR;CONTINUA;CONTINUAR;ПРОДОЛЖИТЬ;コンティニュー;이어하기;继续;繼續;
;JARRAITU ZURE ABENTURAREKIN;CONTINUE YOUR ADVENTURE;REPRENDRE L'AVENTURE;DAS ABENTEUER FORTSETZEN;CONTINÚA TU AVENTURA;CONTINUA AVVENTURA;CONTINUE SUA AVENTURA;ПРОДОЛЖИ СВОЕ ПРИКЛЮЧЕНИЕ;ぼうけんを つづける;당신의 모험을 계속합니다;继续探险;繼續探險;
;OBJEKTUAK;ITEMS;OBJETS;GEGENSTÄNDE;OBJETOS;OGGETTI;ITENS;ПРЕДМЕТЫ;アイテム;아이템;物品;物品;
;IKUSKATU OBJEKTUAK;CHECK YOUR COLLECTED ITEMS;CONSULTER L'INVENTAIRE;DIE GESAMMELTEN GEGENSTÄNDE ANSEHEN;CONSULTA LOS OBJETOS RECOGIDOS;VEDI OGGETTI RACCOLTI;VEJA SEUS ITENS OBTIDOS;ПРОВЕРЬ СВОИ СОБРАННЫЕ ПРЕДМЕТЫ;あつめたアイテムを みる;모은 아이템들을 확인합니다;检查收藏物品;檢查收藏物品;
;IRTEN;QUIT;QUITTER;BEENDEN;SALIR;ESCI;SAIR;ВЫЙТИ;やめる;나가기;放弃;放棄;
;IRTEN MENU NAGUSIRA;QUIT TO THE MAIN MENU;REVENIR AU MENU PRINCIPAL;INS HAUPTMENÜ ZURÜCKKEHREN;SAL AL MENÚ PRINCIPAL;TORNA AL MENU PRINCIPALE;SAIR PARA O MENU#PRINCIPAL;ВЫХОД В ГЛАВНОЕ МЕНЮ;メインメニューへ もどる;메인 메뉴로 나갑니다;放弃回到主菜单;放棄回到主菜單;
;PAUSATUTA;PAUSED;JEU EN PAUSE;PAUSE;EN PAUSA;IN PAUSA;PAUSADO;ПАУЗА;ポーズ;일시 정지;暂停;暫停;
;@ ATZERA;@ BACK;@ RETOUR;@ ZURÜCK;@ ATRÁS;@ INDIETRO;@ VOLTAR;@ НАЗАД;@ もどる;뒤로: @; @返回; @返回;
;OBJEKTURIK EZ;NO ITEMS;AUCUN OBJET;KEINE GEGENSTÄNDE;SIN OBJETOS;NESSUN OGGETTO;SEM ITENS;НЕТ ПРЕДМЕТОВ;アイテムを もっていません;아이템 없음;没有物品;沒有物品;
;???;???;???;???;¿?;???;???;???;???;???;???;???;
;MADARIKAZIO MISTERIOTSUA;MYSTERIOUS CURSE;MYSTÉRIEUSE MALÉDICTION;GEHEIMNISVOLLER FLUCH;MALDICIÓN MISTERIOSA;MALEDIZIONE MISTERIOSA;MALDIÇÃO#MISTERIOSA;ТАИНСТВЕННОЕ ПРОКЛЯТЬЕ;ふしぎな のろい;불가사의한 저주;神秘诅咒;神秘詛咒;
;???;???;???;???;¿?;???;???;???;???;???;???;???;
;EZPATA;SWORD;ÉPÉE;SCHWERT;ESPADA;SPADA;ESPADA;МЕЧ;つるぎ;검;剑;劍;
;MADARIKATUTA DAGO!;IT'S CURSED!;ELLE EST MAUDITE !;ES IST VERFLUCHT!;¡ESTÁ MALDITA!;È MALEDETTA!;AMALDIÇOADA!;ОН ПРОКЛЯТ!;これぞ まさに のろいだ!;저주받았습니다!;受到诅咒;受到詛咒;
;KAFEA;COFFEE;CAFÉ;KAFFEE;CAFÉ;CAFFÈ;CAFÉ;КОФЕ;コーヒー;커피;咖啡;咖啡;
;EGUNA HASTEKO MODU ONA!#KUTXAK BULTZA DITZAKEZU;A GOOD WAY TO START THE DAY!#ALLOWS YOU TO PUSH BOXES.;L'IDÉAL POUR BIEN#DÉBUTER LA JOURNÉE !#CELA TE PERMET DE#DÉPLACER LES CAISSES.;SO BEGINNT MAN DEN TAG!#ERMÖGLICHT DAS SCHIEBEN VON KISTEN.;¡UN BUEN MODO DE EMPEZAR EL DÍA!#PERMITE EMPUJAR CAJAS.;UN BUON MODO DI INIZIARE LA GIORNATA!#POTRAI SPINGERE LE CASSE.;ÓTIMO PARA COMEÇAR O DIA!#DÁ ENERGIA PARA MOVER CAIXAS.;ОТЛИЧНОЕ НАЧАЛО ДНЯ!#ПОЗВОЛЯЕТ ТЕБЕ ТОЛКАТЬ ЯЩИКИ.;これがないと いちにちが はじまらない!#ボックスの いどうに やくにたつ;하루를 시작하는 멋진 방식이죠!#상자를 밀 수 있게 됩니다.;开始一天的好方法#允许推箱子;開始一天的好方法#允許推箱子;
;LINTERNA;FLASHLIGHT;LAMPE TORCHE;TASCHENLAMPE;LINTERNA;TORCIA;LANTERNA;ФОНАРЬ;フラッシュライト;손전등;手电筒;手電筒;
;JENDEAK ZERGATIK EZ#DITU ZIEGAK ARGIZTATZEN?;WHY DON'T PEOPLE#LIGHT THEIR DUNGEONS?;POURQUOI LES GENS#N'ÉCLAIRENT-ILS PAS LEURS DONJONS ?;WARUM IST IN VERLIESEN#KEINE GUTE BELEUCHTUNG?;¿POR QUÉ LA GENTE NO ILUMINA#SUS MAZMORRAS?;PERCHÉ LA GENTE NON#ILLUMINA I DUNGEON?;POR QUE OS LABIRINTOS#SÃO SEMPRE ESCUROS?;ПОЧЕМУ ЛЮДИ НЕ ОСВЕЩАЮТ#СВОИ ПОДЗЕМЕЛЬЯ?;ダンジョンって きほん #まっくらなんでしょう?;왜 다들#던전을 밝히지 않는 걸까요?;为什么#不照亮地牢?;為什麼#不照亮地牢?;
;HEGATSAK;FLIPPERS;PALMES;FLOSSEN;ALETAS;PINNE;NADADEIRA;ЛАСТЫ;みずかき;오리발;脚蹼;腳蹼;
;IGERI EGITEKO OSO ERABILGARRIAK#(KONTUZ IBILI UR KUTSATUAN);VERY USEFUL FOR SWIMMING.#(CAREFUL IN POLLUTED WATER);TRÈS PRATIQUES POUR NAGER.#(PRUDENCE EN EAUX POLLUÉES);HILFREICH BEIM SCHWIMMEN.#(VORSICHT IN VERSEUCHTEM WASSER);MUY ÚTILES PARA NADAR.#(¡OJO EN AGUAS CONTAMINADAS!);UTILISSIME PER NUOTARE.#(ATTENZIONE ALLE ACQUE INQUINATE);MUITO ÚTIL PARA NADAR.#(CUIDADO COM A ÁGUA POLUÍDA);ПОЛЕЗНЫ ДЛЯ ПЛАВАНИЯ.#(БУДЬ ОСТОРОЖНЕЕ В ГРЯЗНОЙ ВОДЕ);およぐときに だいかつやく#(よごれた すいちゅうは ようちゅうい);수영할 때 아주 유용합니다.#(오염된 물은 조심하세요);对游泳很有帮助#(在污水中请小心使用);對游泳很有幫助#(在污水中請小心使用);
;ITSASARGIKO GILTZA;LIGHTHOUSE KEY;CLEF DU PHARE;LEUCHTTURM-SCHLÜSSEL;LLAVE DEL FARO;CHIAVE DEL FARO;CHAVE DO FAROL;КЛЮЧ ОТ МАЯКА;とうだいの カギ;등대 열쇠;灯塔钥匙;燈塔鑰匙;
;EZIN ZAITU ITSASARGI#BATEKO ATEAK GELDIARAZI.;NO LIGHTHOUSE DOOR CAN STOP YOU NOW.;AUCUNE PORTE DE PHARE#NE TE RÉSISTERA.;KEINE LEUCHTTURMTÜR KANN#UNS JETZT NOCH AUFHALTEN.;LA PUERTA DEL FARO NO VA A DETENERTE.;LA PORTA DEL FARO NON TI FERMERÀ.;NENHUMA PORTA DE FAROL IRÁ DETER VOCÊ.;ПЕРЕД ТОБОЙ НЕ УСТОИТ НИ ОДНА ДВЕРЬ.;とうだい もとくらし とは おさらば;이제 등대의 문도 당신을 막을 수 없습니다.;现在没有灯塔门能够阻挡你;現在沒有燈塔門能夠阻擋你;
;UREZTAGAILUA;WATERING CAN;ARROSOIR;GIESSKANNE;REGADERA;ANNAFFIATOIO;REGADOR;ЛЕЙКА;ジョウロ;물뿌리개;喷壶;噴壺;
