ID,Type,English,Arabic,ChineseSimplified,ChineseTraditional,Danish,Farsi,French,German,Indonesian,Italian,Japanese,Korean,Malay,Polish,Portuguese,Russian,Spanish,Turkish,Ukrainian,,,,
action_kill2,Text,Kill 2 enemies at once with a heavy attack,اقتل عدوين مرة واحدة بهجوم قوي,使用重击一次击杀 2 个敌人,用重擊一次擊殺 2 個敵人,Dræb 2 fjender med et spin angreb,با حمله سنگین 2 دشمن را با یک ضربه بکش,Tuer 2 ennemis à la fois avec une attaque forte,Triff 2 Feinde auf einmal mit schwerem Angriff,Bunuh 2 musuh sekaligus dengan serangan berat,Uccidi 2 nemici in una volta con un attacco potente,激しい攻撃により1度に2人の敵を殺す,강력한 공격으로 2명의 적을 한번에 없애기,Musnahkan 2 musuh sekaligus dengan serangan yang kuat,Zabij 2 przeciwników jednym mocnym atakiem,Mate 2 inimigos de uma vez com ataque pesado,Убить 2 врагов одновременно мощным ударом,Hil 2 etsai aldi berean eraso gogor batekin.,Ağır bir saldırı ile 3 düşmanı öldürün,Вбити 2 ворогів одночасно масованим ударом,,,,
action_kill2_title,Text,Deadly spin,الدوران المميت,致命旋转,致命攻擊,Drabeligt spin,چرخش مرگبار,Tourbillon mortel,Tödlicher Wirbel,Putaran maut,Giro mortale,デッドリースピン,치명적인 회전,Putaran maut,Zabójczy obrót,Girada mortal,Смертельный круг,Biratze hilkorra,Ölümcül dönüş,Смертельне кружляння,,,,
ACTION_KNOCK,Text,Knock,طرق,敲,撞,Bank på,درب بزنید,Toquer,Klopfen,Ketuk,Bussa,ノックする,노크하기,Ketuk,Zapukaj,Bater,Постучать,Atea jo,Vur,Постукати,,,,
ACTION_OPEN,Text,Open,فتح,打开,開啟,Åben,باز بکنید,Ouvrir,Öffnen,Buka,Apri,開く,열기,Buka,Otwórz,Abrir,Открыть,Ireki,Aç,Відкрити,,,,
ACTION_OPEN_INVENTORY,Text,Open Inventory,فتح المستودع,打开物品栏,開啟目錄,Åben taske,موجودی را باز کنید,Ouvrir l'inventaire,Inventar öffnen,Buka Inventori,Apri l’inventario,インベントリを開く,인벤토리 열기,Buka Inventori,Otwórz ekwipunek,Abrir inventário,Открыть инвентарь,Ireki Inbentarioa,Envanteri Aç,Відкрити інвентар,,,,
ACTION_PICK_UP,Text,Pick Up,التقاط,拾取,撿起,Tag,بردارید,Ramasser,Aufheben,Ambil,Prendi,拾う,줍기,Ambil,Podnieś,Pegar,Подобрать,Jaso,Al,Підібрати,,,,
ACTION_PLAY,Text,Play,تشغيل,玩,玩,Spil på,بازی کنید,Jouer,Spielen,Mainkan,Gioca,プレー,재생하기,Main,Graj,Jogar,Играть,Jokatu,Oyna,Грати,,,,
ACTION_PULL,Text,Pull,سحب,拉,拉,Hiv,بکشید,Tirer,Ziehen,Tarik,Tira,引く,당기기,Tarik,Pociągnij,Puxar,Потянуть,Tiratu,Çek,Тягнути,,,,
ACTION_PUSH,Text,Push,دفع,推,推,Skub,هُل دهید,Pousser,Drücken,Dorong,Spingi,押す,밀기,Tolak,Popchnij,Empurrar,Толкнуть,Bultzatu,İt,Штовхнути,,,,
ACTION_PUSHPULL,Text,Push/Pull,دفع/سحب,推/拉,拉／推,Skub/Træk,هُل دهید/بکشید,Tirer/pousser,Drücken/Ziehen,Dorong/Tarik,Spingi/Tira,押す/引く,밀기/당기기,Tolak/Tarik,Popchnij/Pociągnij,Puxar/Empurrar,Толкнуть/потянуть,Tira/Bultza,İt/Çek,Штовхнути/тягнути,,,,
action_rats,Text,Remove all Plague Rats from Freedom Isles,تخلص من جميع فئران الطاعون من فريدم آيلز,清除自由岛上的所有瘟疫鼠,清除自由島上的所有瘟疫鼠,Fjern alle pest-rotter fra Frihedens Øer,جزایر آزادی را از همه موش های طاعونی پاک کن,Éliminer tous les rats de Peste des Îles de la liberté,Entferne alle Pestratten von den Freiheitsinseln,Lenyapkan semua Tikus Wabah dari Pulau Kebebasan,Rimuovi tutti i Ratti della Peste dalle Isole della Libertà,フリーダム諸島から疫病神のねずみをすべて駆除する,자유의 섬에서 모든 플라그 쥐 제거하기,Singkirkan semua Tikus Wabak dari Pulau Kebebasan,Pozbądź się wszystkich Szczurów Plagi z Wysp Wolności,Remova todos os Ratos da praga das Ilhas Livres,Разделаться со всеми чумными крысами на островах Свободы,Ezabatu izurriteko arratoi guztiak Askatasun Uharteetatik.,Özgürlük Adalarından tüm vebalı fareleri çıkarın,Приберіть усіх чумних пацюків з Островів свободи,,,,
action_rats_title,Text,Exterminator,المبيد,杀虫剂,消滅者,Skadedyrsbekæmper,نابودگر,Exterminateur,Ausrotter,Pembasmi,Sterminatore,エクスタミネーター,근절자,Penghapus,Eksterminator,Exterminador,Крысолов,Suntsitzaile,Yok edici,Нищівник,,,,
ACTION_RIDE,Text,Ride,ركوب,骑,騎,Rid På,سوار شوید,Chevaucher,Reiten,Kendarai,Corri,乗る,타기,Tunggang,Jedź,Andar,Поехать,Gainean ibili,Sür,Їхати верхи,,,,
ACTION_SPEAK,Text,Speak,تحدث,说,說話,Snak,صحبت کنید,Parler,Sprechen,Bicara,Parla,話す,말하기,Bercakap,Mów,Falar,Говорить,Hitz egin,Konuş,Говорити,,,,
action_spiders,Text,Remove all Spiders from Clockwork Town,تخلص من جميع العناكب من كلوكوورك تاون,清除发条镇上的所有蜘蛛,清除發條鎮上的所有蜘蛛,Fjern alle eddekopper fra Urværksby,شهر ساعتی را از همه عنکبوت ها پاک کن,Éliminer toutes les araignées de Rouageville,Entferne alle Spinnen von der Uhrwerk-Stadt,Lenyapkan semua Laba-Laba dari Kota Clockwork,Rimuovi tutti i Ragni dalla Città Meccanica,時計じかけの町からすべてのクモを駆除する,클락워크 마을에서 모든 거미 제거하기,Singkirkan semua Labah-Labah dari Bandar Kerja Jam,Pozbądź się wszystkich pająków z Zegarowa,Remova todas as aranhas da Cidade Mecânica,Разделаться со всеми пауками в Механическом городе,Ezabatu Ordulherriko Armiarma guztiak,Saat Mekanizması Şehrinden tüm Örümcekleri çıkarın,Приберіть усіх павуків з Годинникового міста,,,,
action_spiders_title,Text,Bug Squasher,ساحق الحشرات,虫虫杀手,壓扁蟲蟲神器,Klasker af kryb,حشره له کن,Écraseur d'insectes,Insektenquetscher,Pelumat Hama,Spiaccica-insetti,バグ・スクワッシャー,곤충 박멸자,Pemusnah Pijat,Środek na robaki,Esmagador de insetos,Жукодав,Zomorro Zanpatzailea,Böcek Ezici,Давитель погані,,,,
ACTION_SWINGSWORD,Text,Swing Sword,أرجحة السيف,挥剑,揮劍, Sving Sværd,با شمشیر بزنید,Coup d'épée,Schwert schwingen,Ayunkan Pedang,Muovi la spada,剣を振る,검 휘두르기,Ayun Pedang,Wymachuj mieczem,Brandir espada,Взмахнуть мечом,Astindu Ezpata,Kılıcı Savur,Замахнутися мечем,,,,
ACTION_TALK,Text,Talk to,التحدث إلى,谈话,談話,Tal med,صحبت کنید,Parler à,Sprechen mit,Bicara dengan,Parla con,話す,대화하기,Bercakap dengan,Porozmawiaj,Falar com,Поговорить,Hitz egin,Konuş,Звернутися,,,,
action_tentacles,Text,Remove all Tentacles in the Pathway,تخلص من جميع المجسات في باثواي,清除通道上的所有触手,清除小徑上的所有觸手,Fjern alle tentakler fra Forbindelsen,همه شاخک ها را از مسیر بردار,Éliminer tous les tentacules du Sentier,Entferne alle Tentakel vom Pfad,Lenyapkan semua Tentakel di Jalanan,Rimuovi tutti i Tentacoli dal Sentiero,経路のすべての触角生物を駆除する,통로에 있는 모든 촉수 제거하기,Singkirkan semua Tentakel dalam Laluan,Pozbądź się wszystkich Macek na Ścieżce,Remova todos os tentáculos na Vereda,Разделаться со всеми щупальцами на тропинке,Kendu Bidaxkako garro guztiak.,Yoldaki tüm ahtapot kollarını çıkarın,Приберіть усі щупальця на Дорозі,,,,
action_tentacles_title,Text,Lovecraftian Shenanigans,خدع صناعة الحب,洛夫克拉夫特式诡计,恐怖小說家的詭計,Lovecraft ballade,حقّه های شیطانی,Manigances lovecraftiennes,Streiche a la Lovecraft,Lovecraftian Shenanigans,Bravate à la Lovecraft,ラブクラフトのいたずら,러브크래프트 속임수,Lovecraftian Shenanigans,Lovecraftiańskie sztuczki,Peripécias lovecraftianas,Лавкрафтовские проказы,Lovecraften Amarruak,Lovecraftian Shenanigans,Лавкрафтівсьский обман,,,,
ACTION_THROWMASK,Text,Throw Mask,إلقاء القناع,扔面罩,丟面具,Kast maske,ماسک را پرتاب کنید,Lancer le masque,Maske werfen,Lemparkan Masker,Getta la maschera,マスクを投げる,마스크 던지기,Balingkan Topeng,Rzuć maskę,Atirar máscara,Бросить маску,Bota Maskara,Maske At,Кинути маску,,,,
ACTION_TURN,Text,Turn,دوران,转向,轉彎,Drej,بچرخید,Tourner,Umdrehen,Putar,Gira,回転,돌기,Pusing,Obróć,Girar,Повернуть,Biratu,Çevir,Повернутися,,,,
ACTION_USE,Text,Use,استخدام,使用,使用,Brug,استفاده کنید,Utiliser,Verwenden,Gunakan,Usa,使う,사용하기,Guna,Użyj,Usar,Использовать,Erabili,Kullan,Використати,,,,
ACTION_USE_ITEM,Text,Use Item,استخدام العنصر,使用物品,使用物品,Brug Ting,استفاده کنید,Utiliser l'objet,Gegenstand verwenden,Gunakan Benda,Usa oggetto,アイテムを使う,아이템 사용하기,Gunakan Item,Użyj przedmiotu,Usar item,Использовать предмет,Erabili objektua,Ögeyi Kullan,Використати річ,,,,
collect_allmem,Text,Collect all the memories,اجمع كل الذكريات,收集所有回忆,收集所有回憶,Indsaml alle minder,همه خاطرات را جمع کن,Collecter tous les souvenirs,Sammle alle Erinnerungen,Kumpulkan semua memori,Raccogli tutti i ricordi,記憶をすべて集める,모든 기억 수집하기,Kumpulkan semua ingatan,Zbierz wszystkie wspomnienia,Recolha todas as lembranças,Собрать все воспоминания,Bildu oroitzapen guztiak.,Tüm hatıraları toplayın,Зберіть усі спогади,,,,
collect_allmem_title,Text,Now it all Makes Sense!,الآن هذا منطقي تمامًا!,现在水落石出了！,現在一切都說得通了！,Nu giver det hele mening!,الان همه چیز معنی پیدا می کند!,"Tout est plus clair, maintenant !",Jetzt ergibt alles einen Sinn!,Kini semua Masuk Akal!,Ora tutto ha un senso!,なるほど！,이제 모든 것이 이해 되는군요!,Sekarang ini semua Memberi Makna!,Teraz wszystko ma sens!,Agora tudo faz sentido!,Вот теперь я понимаю!,Orain guztiak du zentzua!,Şimdi hepsi mantıklı geliyor!,Тепер усе зрозуміло!,,,,
collect_halfmem,Text,Collect half the memories,اجمع نصف الذكريات,收集一半回忆,收集一半回憶,Indsaml halvdelen af minderne,نصف خاطرات را جمع کن,Collecter la moitié des souvenirs,Sammle die Hälfte der Erinnerungen,Kumpulkan separuh memori,Raccogli metà dei ricordi,記憶を半分集める,기억의 반 수집하기,Kumpulkan separuh ingatan,Zbierz połowę wspomnień,Recolha metade das lembranças,Собрать половину воспоминаний,Bildu oroitzapenen erdiak.,Hatıraların yarısını toplayın,Зберіть половину спогадів,,,,
collect_halfmem_title,Text,Distant Memories,ذكريات بعيدة,遥远的记忆,遙遠的記憶,Fjerne minder,خاطرات دور,Souvenirs lointains,Vage Erinnerungen,Memori Jauh,Ricordi lontani,遠い記憶,희미한 추억,Ingatan Jauh,Odległe wspomnienia,Lembranças distantes,Смутные воспоминания,Urruneko Oroitzapenak,Uzaktaki hatıralar,Давні спогади,,,,
collect_kettle,Text,Collect the Kettle Brothers' memory,اجمع ذكرى أخوة الغلاية,收集茶壶兄弟的回忆,收集水壺兄弟的回憶,Indsaml Kedelbrødrenes minde,خاطرات برادران کتل را جمع کن,Collecter le souvenir des frères bouilloire,Sammle die Erinnerungen der Gebrüder Kessel,Kumpulkan memori Kettle Brother,Raccogli il ricordo dei Fratelli Teiera,やかんの兄弟の記憶を集める,케틀 형제의 기억 수집하기,Kumpulkan ingatan Saudara Cerek,Zbierz wspomnienie Braci Czajników,Recolha a lembrança dos Irmãos Chaleira,Собрать воспоминание братцев-чайников,Bildu Teontzi Anaien oroitzapena,Su Isıtıcısı Kardeşlerin hatırasını toplayın,Знайдіть спогад Братів Чайників,,,,
collect_kettle_title,Text,Time for Tea,وقت الشاي,茶点时间,喝茶時間,Tid til The,وقت چایی است,L'heure du thé,Teezeit,Waktunya Minum Teh,È l’ora del tè,お茶の時間,차 마실 시간,Masa untuk Teh,Czas na herbatkę,Hora do chá,Время пить чай,Tearen ordua,Çay Zamanı,Пора чаювати,,,,
collect_light,Text,Collect the light bulb houses' memory,اجمع ذكرى منازل المصابيح الكهربية,收集灯泡屋的回忆,收集燈泡屋的回憶,Indsaml alle lyspærehusenes minder,خاطرات خانه لامپی را جمع کن,Collecter le souvenir des maisons tête d'ampoule,Sammle die Erinnerungen der Glühbirnenhäuser,Kumpulkan memori rumah bohlam,Raccogli i ricordi delle case delle lampadine,電球ハウスの記憶を集める,전구가 있는 집에 대한 기억 수집하기,Kumpulkan ingatan rumah mentol lampu,Zbierz wspomnienie domów z żarówkami,Recolha a lembrança das casas das lâmpadas,Собрать воспоминание домов-лампочек,Bildu bonbila etxeetako oroitzapenak.,Ampul evlerinin hatıralarını toplayın,Знайдіть спогад дому з лампочками,,,,
collect_light_title,Text,Turning on the Light,تشغيل الإضاءة,开灯,開燈,Tænd for lyset,روشن کردن لامپ,Allumer la lumière,Licht an,Menyalakan Lampu,Accendere la luce,電気を点ける,전구 켜기,Menghidupkan Lampu,Niech ktoś włączy światło,Ligar a luz,Включаем свет,Piztu argia,Işığı Açma,Вмикання світла,,,,
collect_onemem,Text,Collect one memory,اجمع ذكرى واحدة,收集一个回忆,收集一個回憶,Indsaml et minde,یک خاطره جمع کن,Collecter un souvenir,Sammle eine Erinnerung,Kumpulkan satu memori,Raccogli un ricordo,記憶を集める,한 가지 기억 수집하기,Kumpulkan satu ingatan,Zbierz jedno wspomnienie,Pegue uma lembrança,Собрать одно воспоминание,Bildu oroitzapen bat.,Bir hatıra toplayın,Знайдіть один спогад,,,,
collect_onemem_title,Text,I Remember That....,أتذكر هذا...,我记得...,我記得……,Det der kan jeg godt huske,یادم می آید که....,Je m'en souviens...,Ich erinnere mich daran …,Aku Ingat Itu....,Me lo ricordo...,たしか…,난 기억해....,Saya Ingat Bahawa....,Pamiętam to...,Eu me lembro disso...,"О, это я помню...",Gogoratzen dut...,Hatırlıyorum....,Це я пам'ятаю...,,,,
collect_water,Text,Collect the memory in the Pathway,اجمع الذكرى في باثواي.,在通道收集回忆,在小徑上收集回憶,Indsaml mindet i Forbindelsen,خاطرات مسیر را جمع کن,Collecter le souvenir dans le Sentier,Sammle die Erinnerung auf dem Pfad,Kumpulkan memori di Jalanan,Raccogli il ricordo sul Sentiero,経路にある記憶を集める,통로에서 기억 수집하기,Kumpulkan ingatan dalam Laluan,Zbierz wspomnienie na Ścieżce,Recolha a lembrança na Vereda,Собрать воспоминание на тропинке,Bildu Bidaxkako oroitzapena.,Yoldaki hatıraları toplayın,Знайдіть спогад на Дорозі,,,,
collect_water_title,Text,Waterboy,الساقي,茶水男孩,送水男孩,Vanddreng,واتربوی,Porteur d'eau,Wasserjunge,Waterboy,Portatore d’acqua,ウォーターボーイ,워터보이,Budak Pembancuh Air,Chłopak od bidonów,Menino da água,Мальчик на побегушках,Urketaria,Sucu,Водонос,,,,
COLLECTABLE_BABY_DESCRIPTION,Text,"""Look at her. So peaceful and perfect. I love you both so much!""\n - Angela","انظر إليها. إنها مسالمة ومثالية إلى أبعد الحدود. أحبكما أنتما الاثنين!""""\n - أنجيلا",“看看她。如此平静而完美。我太爱你们俩了！”\n - 安琪拉,"看看她。如此平靜又完美。我好愛你們兩個！""""\n - 安琪拉","""Se hende lige. Så rolig og perfekt. Jeg elsker jer begge så meget!""\n - Angela",«نگاهش کن. خیلی آرام و عالی است. هر جفت شما را خیلی دوست دارم!»/n - آنجلا,« Regarde-la. Si paisible et parfaite. Je vous aime tant tous les deux ! »\n - Angela,„Schau sie an. So friedlich und perfekt. Ich liebe euch beide so sehr.“\n – Angela,"Lihat dia. Begitu damai dan sempurna. Aku sangat menyayangi kalian berdua!""""\n - Angela","""Guardala. Com’è pacifica e perfetta. Vi amo così tanto, tutti e due!""\n - Angela",「ほら、見て。とても穏やかで完璧よ。とても愛しているわ！」\n - アンジェラ,"그녀를 보세요. 너무나도 평화롭고 완벽해요. 둘다 너무 사랑해요!""""＼n - 안젤라 ","Lihat dia. Begitu tenang dan sempurna. Saya amat sayangkan kedua-dua kamu!""""\n - Angela",„Tylko spójrz na nią. Jest taka spokojna i doskonała. Tak bardzo kocham was oboje!”\n – Angela,"Olhe para ela. Tão serena e perfeita. Amo muito vocês dois!""""\n — Ângela",«Только посмотри на нее. Такая тихая и славная. Я так вас обоих люблю!»\n — Анжела,"""Begira ezazu. Hain baketsu eta bikaina. Izugarri maite zaituztet biek!""\n - Angela","Ona bak. Çok huzurlu ve mükemmel. Her ikinizi de çok seviyorum!""""\n - Angela",«Тільки погляньте на неї. Яка мирна та чудова. Я вас обох дуже люблю!»\n — Анжела,,,,
COLLECTABLE_BABY_TITLE,Text,Remembrane XVI,طفل,婴儿,嬰兒,Baby,عزیزم,Bébé,Baby,Sayang,Figlia,赤ちゃん,자기,Sayang,Dziecko,Bebê,Ребенок,Umea,Bebek,Дитина,,,,
COLLECTABLE_BYE_TODD_DESCRIPTION,Text,"""It's an offer I can't refuse, bro. I'll give you a call once I reach the other side of the Earth!""\n - Todd","إنه عرض لا يمكنني رفضه يا أخي. سأتصل بك عندما أصل إلى الجانب الآخر من الأرض!""""\n - تود",“兄弟，这件差事我没法拒绝。等我到了地球另一边，就给你打电话！”\n - 陶德,"兄弟，這件差事我沒辦法拒絕。我一到地球的另一邊就立刻打給你！""""\n - 陶德","""Det er et tilbud jeg ikke kan sige nej til. Jeg ringer så snart jeg er på den anden side af kloden!""\n - Todd",«داداش این پیشنهاد را نمی شود رد کرد. وقتی به مقصدم رسیدم با تو تماس می‌گیرم!»/n - تاد,"« C'est une offre que je ne peux pas refuser, frérot. Je t'appelle une fois que j'ai atteint l'autre côté de la terre ! »\n - Todd","„Das ist ein Angebot, das ich nicht ablehnen kann, Kumpel. Ich ruf dich an, wenn ich die andere Seite der Erde erreiche.“\n – Todd","""Ini adalah tawaran yang tak bisa kutolak, bro. Aku akan meneleponmu begitu aku tiba di sisi Bumi lainnya!""\n - Todd","""È un’offerta che non posso rifiutare, fratello. Ti telefonerò quando sarò arrivato dall’altro lato della Terra!""\n - Todd",「こんな誘いは断れないよ。地球の反対側にたどり着いたら電話するよ！」\n - トッド,"""그건 내가 거절 할 수 없는 제안이었어, 친구. 지구 반대편에 도착하면 전화할께!""＼n - 토드","""Ia tawaran yang tidak dapat saya tolak, saudaraku. Saya akan menghubungi anda sebaik sahaja saya sampai di bahagian sana di Bumi!""\n - Todd","„Takiej propozycji nie mogę odmówić, bracie. Odezwę się, gdy tylko dotrę na drugą stronę Ziemi!”\n – Todd","""É uma oferta irrecusável, cara. Eu te dou uma ligada quando chegar no outro lado da Terra!""\n — Tonho","«Это предложение, от которого я не могу отказаться, братец. Позвоню тебе, когда буду на другом конце Земли!»\n — Тодд","""Uko egin ezin diodan eskaintza bat da, txo. Lurraren beste aldera ailegatzean deituko dizut.""\n - Todd","""Reddedemeyeceğim bir teklif, kardeşim. Yeryüzünün diğer tarafına ulaştığım zaman sana telefon açacağım!""\n - Todd","«Від такої пропозиції я не відмовлюсь, друже. Я передзвоню, коли буду на іншому кінці Землі!»\n — Тодд",,,,
COLLECTABLE_BYE_TODD_TITLE,Text,Remembrane XIII,وداعًا تود,再见托德,再見陶德,Farvel Todd,خداحافظ تاد,Au revoir Todd,"Tschüss, Todd","Dah, Todd","Ciao, Todd",さようなら、トッド,안녕 토드,Selamat tinggal Todd,"Do widzenia, Todd","Adeus, Tonho","Пока, Тодд",Agur Todd,Güle güle Todd,"Бувай, Тодд",,,,
