key,source,target
C01_Strings_SB/2526_BennyBeeChat_Intro,"AHH... BACK IN THE HIVE. FEELS GOOD. @YO MANY THANKS, JOT - YOU DID ME A SOLID. THAT HONEY BADGER WAS REALLY MESSING WITH MY BEESWAX. @ANYHOW GANG, WHAT BRINGS YOU HERE?","AHH... BERRIZ ERE BERASKAN. ZEINEN ONGI. @HI, MILESKER, JOT - FABORE EDERRA EGIN DIDAK. EZTI AZKONAR HORREK GOGOZ NAHI ZIAN NIRE ARGIZARIA. @EDONOLA, BIKOTE, NOLATAN ZUEK HEMEN?"
C01_Strings_SB/2526_PipChat_MoonbeardSentUs,"MOONBEARD SENT US, BENNY! HE COULD REALLY DO WITH SOME OF THAT BEESWAX, IF YOU HAVE SOME SPARE!","BIZARGIK BIDALI GAITIK, BENNY! HIRE ARGIZARI HORREN BEHARRA OMEN DIK, SOBERAN BADAUKAK!"
C01_Strings_SB/2526_PipChat_WhatsGoingOn,HUH? WHAT'S GOING ON? @WHAT'S WITH ALL THIS OMINOUS DARKNESS?,EH? ZER GERTATZEN DA? @NONDIK DATOR ILUNTASUN BELDURGARRI HAU?
C01_Strings_SB/2728_DustUp,JOT PREPARED#FOR A#{150}DUST-UP,JOT#{150}LISKARRERAKO#PRESTATU ZEN
C01_Strings_SB/2728_HoneyBadgerAngry,THE#HONEY BADGER#SEEMED RATHER#{225}ANNOYED,EZTI AZKONARRAK#NAHIKO {225}HASERRE#{100}DIRUDI
C01_Strings_SB/2930_APlusStick,{Action_Jump}+Ꜳ,
C01_Strings_SB/2930_Attack,ATTACK!,ERASO
C01_Strings_SB/2930_Block,BLOCK,BLOKATU!
C01_Strings_SB/2930_BoxingTheBadger,"BOXING THE BADGER'","AZKONAR BORROKA"
C01_Strings_SB/2930_Defend,DEFEND!,BABESTU!
C01_Strings_SB/2930_Dodge,DODGE,SAIHESTU
C01_Strings_SB/2930_Guard,GUARD,BABESTU
C01_Strings_SB/2930_Hook,HOOK,KAKOA
C01_Strings_SB/2930_Jab,JAB,UKABILKADA
C01_Strings_SB/2930_StickDown,ꜽ,
C01_Strings_SB/2930_StickLeftRight,Ꜿꜿ,
C01_Strings_SB/3132_BeastWasBested,{200}BEAST{100} WAS {200}BESTED!,{200}PIZTIAK{100} ALDE EGIN ZUEN {200}ZIZTU BIZIAN{100}!
C01_Strings_SB/3132_Triumphant,THE PLUCKY SQUIRE#{150}TRIUMPHANT!,EZKUTARI AUSARTA#{150}GARAILE!
C01_Strings_SB/3334_DownTheyFell,DOWN# THEY# {150}FELL,BADOAZ#{150}BEHERANTZ
C01_Strings_SB/3334_Oof,OOF!,UFF!
C01_Strings_SB/3536_Confer,IT WAS TIME#TO CONFER WITH#{160} MOONBEARD!,{160}BIZARGIRI{100}#GALDETZEKO UNEA#AILEGATU ZEN!
C01_Strings_SB/3536_MoonbeardChat01,"YEP, IT'S HUMGRUMP ALRIGHT. ALWAYS UP TO TREACHEROUS TRICKERY, THAT ONE. @THERE'S SOMETHING RATHER ODD ABOUT THE MAGIC HE USED... @AND... THIS IS NOT USUALLY HOW THE STORY GOES, YOU KNOW... @THAT IS TO SAY... URMM... @... @FORGET ABOUT THAT. HARRUMPH! @THIS IS A JOB FOR THE PLUCKY SQUIRE, JOT! @HUMGRUMP IS AT TOME TOWER... @HEAD THERE AND MAKE SURE THAT CREEPY LITTLE TWERP DOESN'T CAUSE ANY MORE BOTHER!","BAIBA, PETRALTZAR IZAN DA. BETI BADARABIL MALTZURKERIAREN BAT HORREK. @ERABILI DUEN MAGIAN BADAGO BITXIA DEN ZERBAIT... @ETA... HAU EZ DA ISTORIOA GARATZEKO OHIKO MODUA, BADAKIZU... @HAU DA... ERMM... @... @AHAZTU ESANDAKOA. PETRALTZAR! @HAU JOTENTZAKO LANA DA, EZKUTARI AUSARTA! @PETRALTZAR LIBURUKI DORREAN DAGO... @ZOAZ HARANTZ ETA ZIURTATU KAIKU HORREK EZ DUELA ARAZO GEHIAGO SORTUKO!"
C01_Strings_SB/3536_Violet_Chat01,{135}HELLOOOOOO!{100},{135}KAIXOOOOOO!{100}
C01_Strings_SB/3536_MoonbeardChat02,"THAT WEASELLY WIZARD IS AT TOME TOWER. YOU KIDS HEAD OVER THERE, AND JOT... @PUT A STOP TO HUMGRUMP'S MALARKEY! @I'LL LOOK INTO THAT STRANGE GREEN MAGIC... @AND HAVE A DONUT. BUT THAT'S BY THE BY. @LATER!","AZTI MALTZUR HORI LIBURUKI DORREAN DAGO. ZOAZTE HARUNTZ GAZTETXOOK, ETA JOT... @GELDI EZAZU PETRALTZARREN GAIZTAKERIA! @NIK MAGIA BERDE BITXI HORI AZTERTUKO DUT... @ETA DONUT BAT JANGO DUT. BAINA HORI EZ DA KONTUA. @AIO!"
C01_Strings_SB/3536_Pip_Chat01,"GOODBYE AND GOOD LUCK! @ ALTHOUGH... YOU NEVER REALLY NEED IT, JOT!","AGUR ETA ZORTE ON! @ HALA ERE... BENETAN EZ DUZU HORRELAKORIK BEHAR, JOT!"
C01_Strings_SB/3536_Violet_Chat02,"HEY JOT! WE'VE GOT ANOTHER HUMGRUMP SITUATION, HUH? @MOONBEARD GAVE ME THE SKINNY!","AIZU JOT! BERRIZ ARI DA PETRALTZAR BERE KONTUEKIN, EZTA? @BIZARGIK KONTATU DIT!"
C01_Strings_SB/3536_Violet_Chat03,"NO LIE... I'M PUMPED THAT I'M GOING TO GET TO SEE THE PLUCKY SQUIRE IN ACTION... @{150}KAPOW!{100} @LEAD THE WAY, JOT!","EGIA ESANGO DIZUT... EZKUTARI AUSARTA LANEAN IKUSTEAKO DESIRATZEN NAGO... @{150}BAM!{100} @AURRERA, JOT!"
C01_Strings_SB/3536_TomeTowerUrgency,JOT FELT AN URGENT NEED TO GET GOING TO TOME TOWER!,JOTEK LIBURUKI DORRERA JOATEKO BAPATEKO BEHARRA SENTITU ZUEN!
C01_Strings_SB/4344_Violet_Chat01,WHAT THE...?,BAINA ZE...?
C01_Strings_SB/4344_Violet_Chat02,"NICE! YOU ALWAYS HAVE A WAY WITH WORDS, JOT!","EDERKI! BETI IZAN ZARA TREBEA HITZEKIN, JOT!
C01_Strings_SB/4546_Violet_JustAhead,I CAN SEE THE WAY AHEAD! LAST ONE THERE IS A ROTTEN EGG!,
C01_Strings_SB/Shop_BuyConfirm01,DO YOU WANT TO BUY THIS ITEM?,OBJETKU HAU EROSI NAHI AL DUZU?
C01_Strings_SB/Shop_BuyConfirm02,DO YOU WANT TO BUY THIS ITEM? IT WILL REPLACE ANY ABILITY YOU ALREADY HAVE,OBJETKU HAU EROSI NAHI AL DUZU? LEHENDIK DUZUN TREBETASUNA ORDEZKATUKO DU
C01_Strings_SB/Shop_Unlock_SwordThrow,JOT GOT THE SWORD THROW BADGE!,JOTEK EZPATA JAURTITZEKO INTSIGNIA LORTU DU!
C01_Strings_SB/Shop_Unlock_JumpAttack,JOT GOT THE JUMP ATTACK BADGE!,JOTEK JAUZI ERASOA LORTU DU!
C01_Strings_SB/Shop_Unlock_SpinAttack,JOT GOT THE SPIN ATTACK BADGE!,JOTEK BIRA ERASOA LORTU DU!
C01_Strings_SB/Shop_Ugrade_SwordDamage01,JOT UPGRADED HIS SWORD DAMAGE!,JOTEK EZPATA KOLPEA HOBETU DU!
C01_Strings_SB/Shop_Ugrade_SwordThrow01,JOT UPGRADED HIS SWORD THROW!,JOTEK EZPATA JAURTITZEA HOBETU DU!
C01_Strings_SB/Shop_Ugrade_SpinAttack01,JOT UPGRADED HIS SPIN ATTACK!,JOTEK BIRA ERASOA HOBETU DU!
C01_Strings_SB/Shop_Ugrade_SwordDamage02,JOT FULLY UPGRADED HIS SWORD DAMAGE!,JOTEK EZPATA KOLPEA GUZTIZ HOBETU DU!
C01_Strings_SB/Shop_Ugrade_SwordThrow02,JOT FULLY UPGRADED HIS SWORD THROW!,JOTEK EZPATA JAURTITZEA GUZTIZ HOBETU DU!
C01_Strings_SB/Shop_Ugrade_SpinAttack02,JOT FULLY UPGRADED HIS SPIN ATTACK!,JOTEK BIRA ERASOA GUZTIZ HOBETU DU!
C01_Strings_SB/2930_DodgeHint,DODGE!,SAIHESTU!
C01_Strings_SB/Shop_Description_Unlock_SwordThrow,THROW YOUR SWORD TO ATTACK ENEMIES OR RETRIEVE GOODIES FROM A DISTANCE,BOTA ZURE EZPATA ETSAIEI ERASO EGITEKO EDO URRUNEKO GAUZA HARTZEKO
C01_Strings_SB/Shop_Description_Unlock_JumpAttack,PERFORM A POWERFUL AND SURPRISING DOWNWARD STRIKE FROM THE AIR,AIRETIK BEHERANZKO EZUSTEKO ERASO BOTERETSUA EGITEKO
C01_Strings_SB/Shop_Description_Unlock_SpinAttack,CHARGE UP AND RELEASE A DEVASTATING SPIN ATTACK TO EASILY CUT THROUGH GROUPS OF ENEMIES,
C01_Strings_SB/Shop_Description_Upgrade_SwordDamage01,"INCREASE THE POWER OF JOT'S SWORD. GOOD FOR ALL SWORD ATTACKS","JOTEN EZPATAREN BOTEREA HANDITZEN DU. EZPATA ERASO GUZTIENTZAT BALIO DU"
C01_Strings_SB/Shop_Description_Upgrade_SwordThrow01,JOT CAN NOW HIT MULTIPLE ENEMIES WITH A SINGLE SWORD THROW,
C01_Strings_SB/Shop_Description_Upgrade_SpinAttack01,JOT WILL NOW SPIN TWICE AFTER CHARGING UP A SPIN,
C01_Strings_SB/Shop_Description_Upgrade_SwordDamage02,"FURTHER INCREASE THE POWER OF JOT'S SWORD. GOOD FOR ALL SWORD ATTACKS",
C01_Strings_SB/Shop_Description_Upgrade_SwordThrow02,JOT CAN NOW THROW HIS SWORD FURTHER THAN BEFORE,
C01_Strings_SB/Shop_Description_Upgrade_SpinAttack02,JOT WILL NOW SPIN THREE TIMES AFTER CHARGING UP A SPIN,
C01_Strings_SB/Shop_Description_Upgrade_SwordDamage03,"INCREASE JOT'S SWORD TO MAXIMUM POWER! GOOD FOR ALL SWORD ATTACKS",
C01_Strings_SB/Shop_Description_Upgrade_SwordThrow03,JOT CAN NOW RECALL HIS THROWN SWORD INSTANTLY,
C01_Strings_SB/Shop_Description_Upgrade_SpinAttack03,JOT WILL NOW SPIN AN INCREDIBLE FOUR TIMES AFTER CHARGING UP A SPIN,
C01_Strings_SB/Shop_Description_Special_SuperAttack,MELEE ATTACKS DO DOUBLE DAMAGE!,
C01_Strings_SB/Shop_Description_Special_BulbMultiplier,ALL BULBS COLLECTED ARE WORTH DOUBLE!,
C01_Strings_SB/Shop_Description_Special_ProtectiveBubble,A BUBBLE WILL PROTECT JOT FROM THE NEXT HIT... AND DEAL DAMAGE TO THAT ENEMY!,
C01_Strings_SB/Shop_Description_Special_SuperThrow,THE SWORD THROW WILL DEAL DOUBLE DAMAGE!,
C01_Strings_SB/Shop_Description_Special_MagneticSwordThrow,A SWORD THROW WILL NOW ATTRACT ITEMS FROM A DISTANCE!,
C01_Strings_SB/Shop_Description_Special_Armour,JOT WILL RECEIVE PROTECTIVE ARMOUR!,
C01_Strings_SB/Shop_Description_Special_Magnet,ITEMS WILL BE DRAWN TO JOT FROM A DISTANCE! GOOD FOR LAZY COLLECTORS,
C01_Strings_SB/Shop_Description_Special_Random,RECEIVE A SPECIAL ITEM THAT MAY OR MAY NOT BE CURRENTLY AVAILABLE IN THE SHOP!,
C01_Strings_SB/Shop_Description_ArtScroll,"A COLLECTABLE ART SCROLL THAT CAN'T BE FOUND IN THE LANDS OF MOJO!","ARTE PERGAMINO KOLEKZIONAGARRIA, EZIN DA MOJOKO LURRETAN AURKITU!"
C01_Strings_SB/Shop_FirstIntroduction,"GREETINGS, BRAVE WARRIORS! @MY NAME'S MARTINA... NICE TO MEET YOU! @YOU ADVENTURERS CUT DOWN FEARSOME ENEMIES... AND I SLASH PRICES. @LET ME SHOW YOU WHAT I HAVE FOR SALE!","ONGI ETORRI, GERLARI ADORETSUAK! @NI MARTINA NAIZ... URTE ASKOTARAKO! @ABENTURAZALEEK GAIKILE BELDURGARRIAK TXIKITZEN DITUZUE... ETA NIK PREZIOAK. @ZATOZTE SALGAI DUDANA IKUSTERA!"
C01_Strings_SB/Shop_FirstFarewell,"IT WAS LOVELY TO MAKE YOUR ACQUAINTANCE! @BE SURE TO CHECK IN AGAIN... NEXT TIME WE MEET I'LL HAVE NEW STOCK! @YOU KEEP SAVING THE LAND FROM BAD BUSINESS, AND MY BUSINESS WILL SAVE YOU FROM BAD DEALS. @SO LONG, BRAVE WARRIORS!","PLAZERA IZAN DA ZUEK EZAGUTZEA! @PASA BERRIZ NAHI DUZUENEAN... HURRENGORAKO GAUZA GEHIAGO IZANGO DITUT! @ZUEK JARRAITU LURRALDE HAU GAUZA TXARRETATIK SALBATZEN, ETA NIK AKORDIO TXARRETATIK SALBATUKO ZAITUZTET. @HURRENGORA ARTE, GERLARI ADORETSUAK!"
C01_Strings_SB/Shop_Greeting01,WE MEET AGAIN! @CARE TO TAKE A LOOK AT MY CURRENT SELECTION?,BERRIRO AURKITU GARA! @NIRE AUKERAKETA IKUSI NAHI DUZUE?
C01_Strings_SB/Shop_Greeting02,"WELL IF IT ISN'T THE BRAVE WARRIORS WITH A SHARP EYE FOR GOOD DEALS! @I'VE GOT SOME NEW STUFF IN. TAKE A LOOK!",
C01_Strings_SB/Shop_Return01,WANT TO TAKE ANOTHER LOOK?,
C01_Strings_SB/Shop_Farewell01,"UNTIL NEXT TIME, BRAVE WARRIORS!",
C01_Strings_SB/Shop_Farewell02,"FAREWELL FOR NOW, FRIENDS!",
C01_Strings_SB/Shop_ForceSwordThrow01,"GOOD NEWS, FRIENDS! @I NEED TO MAKE ROOM FOR NEW STOCK, SO YOU CAN HAVE THIS FOR FREE.",
C01_Strings_SB/Shop_ForceSwordThrow02,"FRIENDS, YOU'D REALLY BE HELPING ME OUT IF YOU TAKE THIS OFF MY HANDS. @COME, TAKE THIS WITH YOU. FREE OF CHARGE!",
C01_Strings_SB/4546_Violet_Crumble_1,"WELL, THERE IT IS. THAT MYSTERIOUS ANCIENT OWL. @ALL THE KNOWLEDGE OF MOJO IS SUPPOSED TO BE STORED IN THERE, Y'KNOW...","TIRA, HOR DAGO. ANTZINAKO HONTZ MISTERIOTSU HORI. @MOJOKO JAKINTZA GUZTIA BERTAN DAGOELA USTE DA, BA'KIZU..."
C01_Strings_SB/4546_Violet_Crumble_2,WHOAH! @NOT SURE THE GROUND SHOULD BE DOING THIS...,UOOO! @LURZORUAK EZ LUKE HORI EGIN BEHAR...
C01_Strings_SB/AG_ALT_HERO_1,"Although the broad design of Jot was decided early on, alternative hero designs were explored during pre-production.",
C01_Strings_SB/AG_ALT_HERO_2,"Testing how an alternative hero design would look in the top-down environments. Conclusion: too visually complex, and not quite as charming. Sorry fella.",
C01_Strings_SB/AG_BIRTH_OF_THE_GLITCHBIRD,"A graphical glitch in the boxing minigame created our friend the Glitchbird. A character created by the game itself. Thank you, game.","Boxeo minijokoko hautsitako grafiko batetik sortu zen gure lagun Heghautsia. Jokoak berak sortutako pertsonaia bat. Eskerrik asko, joko."
C01_Strings_SB/AG_CHARACTERART_DINOSAURS,"A lineup of the characters that appear in the gameplay section we call 'Dinorama'.",
C01_Strings_SB/AG_CONCEPT_AREA_BEACH,Some early concepting of game environments. This would eventually become Boogie Beach.,
C01_Strings_SB/AG_CONCEPT_AREA_DINOLAND,Some early concepting of game environments. This would eventually become the dino land Jot adventures through on the desk.,
C01_Strings_SB/AG_CONCEPT_AREA_CANDYLAND,Some early concepting of game environments. Looks delicious.,
C01_Strings_SB/AG_CONCEPT_AREA_CASTLETOWN,Some early concepting of game environments. This would eventually become Artia Town.,
C01_Strings_SB/AG_CONCEPT_AREA_CASTLE,Some early concepting of game environments. This would eventually become Artia Castle.,
C01_Strings_SB/AG_CONCEPT_AREA_FAIRYFOREST,Some early concepting of game environments. An enchanted place.,
C01_Strings_SB/AG_CONCEPT_AREA_HAUNTED,Some early concepting of game environments. Spooky.,
C01_Strings_SB/AG_CONCEPT_AREA_JAIL,Some early concepting of game environments. This would eventually become Deepdoom.,
C01_Strings_SB/AG_CONCEPT_AREA_MOUNTAINS,Some early concepting of game environments. This would eventually become the green lands in the early chapters of the game.,
C01_Strings_SB/AG_CONCEPT_AREA_SKELETOWN,Some early concepting of game environments. Lots of skeletons skull-king around.,
C01_Strings_SB/AG_CONCEPT_AREA_SLIMEDUNGEON,Some early concepting of game environments. Appealing to the 80s / 90s kid who grew up with slime toys and TV shows.,
C01_Strings_SB/AG_CONCEPT_AREA_SNOWROUTE,"Some early concepting of game environments. The hot spring looks quite inviting, don't you think?",
C01_Strings_SB/AG_CONCEPT_AREA_SWAMP,Some early concepting of game environments. This would eventually become the Sonnet Swamps.,
C01_Strings_SB/AG_CONCEPT_AREA_VOLCANO,Some early concepting of game environments. All these environment concepts were drawn by Dave Hankin.,
C01_Strings_SB/AG_CONCEPT_AREA_WIZARDLAB,"Some early concepting of game environments. This would eventually become Moonbeard's lab.",
C01_Strings_SB/AG_CONCEPT_BOXINGMINIGAME,"We knew we wanted to feature a boxing minigame... but it took a while to land on exactly who your opponent would be. As it turns out, it wouldn't be a giant muscular duck.",
C01_Strings_SB/AG_CONCEPT_BUGFIGHT,"Exploring the look of Jot on the desk. Early on he was actually cel-shaded, but he just looked better more realistically shaded.",
C01_Strings_SB/AG_CONCEPT_CHARACTER_JOT,"Early character design. This was before Jot was a writer, and didn't have a quill in his hat. He already has that plucky disposition, though.",
C01_Strings_SB/AG_CONCEPT_CHARACTER_MOONBEARD,Early character design. Moonbeard before his sunglasses.,
C01_Strings_SB/AG_CONCEPT_CHARACTER_PIP,Early character design. Pip was originally a trickster kind of character who turned out to be evil. The Pip now featured in the game is all good. We think.,
C01_Strings_SB/AG_CONCEPT_CHARACTER_THRASH,"Early character design. Thrash was always athletic, but started out as a human character before becoming a mountain troll.",
C01_Strings_SB/AG_CONCEPT_CHARACTER_VIOLET,Early character design. At one point Violet was a rabbit.,
C01_Strings_SB/AG_CONCEPT_CHARACTER_HUMGRUMP,"Early character design. Humgrump's look came together fairly early on, and didn't change much.",
C01_Strings_SB/AG_CONCEPT_GAMEPLAY_MOLES,"An idea for a whack-a-mole style minigame. These guys look like they'd whack you right back.",
C01_Strings_SB/AG_CONCEPT_OUTOFTHEBOOK,"A concept piece of Jot emerging from the book. For a while he was drawn with a cat companion, but eventually Pip took on the companion role. The cat was pipped by a mouse.",
C01_Strings_SB/AG_CONCEPT_ROOM,An exploration of the look of the room. This was useful reference for the 3D artists. The art was drawn by Murilo Cavalcanti.,
C01_Strings_SB/AG_CONCEPT_THEDARKDESK,An exploration of the mood of the desk when Jot is first kicked out of his storybook.,
